onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
11.834	0	sound	rb	4	38	4	1	1.566
15.917	0	feedback	rb	4	38	n/a	n/a	n/a
19.317	0	sound	rb	1	3	1	1	1.179
22.85	0	feedback	rb	1	3	n/a	n/a	n/a
26.816	0	sound	rb	3	23	1	0	1.144
31.249	0	feedback	rb	3	23	n/a	n/a	n/a
34.315	0	sound	rb	2	20	2	1	1.924
37.148	0	feedback	rb	2	20	n/a	n/a	n/a
44.331	0	sound	rb	1	5	1	1	1.788
48.781	0	feedback	rb	1	5	n/a	n/a	n/a
51.814	0	sound	rb	2	18	2	1	1.881
54.58	0	feedback	rb	2	18	n/a	n/a	n/a
59.313	0	sound	rb	2	15	4	0	1.774
61.846	0	feedback	rb	2	15	n/a	n/a	n/a
66.846	0	sound	rb	1	6	2	0	1.856
70.962	0	feedback	rb	1	6	n/a	n/a	n/a
74.345	0	sound	rb	4	37	4	1	1.549
76.945	0	feedback	rb	4	37	n/a	n/a	n/a
81.811	0	sound	rb	3	22	3	1	1.795
85.844	0	feedback	rb	3	22	n/a	n/a	n/a
89.31	0	sound	rb	4	31	4	1	1.512
92.893	0	feedback	rb	4	31	n/a	n/a	n/a
99.309	0	sound	rb	3	29	3	1	1.937
103.109	0	feedback	rb	3	29	n/a	n/a	n/a
109.308	0	sound	rb	3	30	0	0	0
113.475	0	feedback	rb	3	30	n/a	n/a	n/a
116.808	0	sound	rb	4	36	4	1	1.373
120.124	0	feedback	rb	4	36	n/a	n/a	n/a
124.307	0	sound	rb	1	2	1	1	1.002
128.39	0	feedback	rb	1	2	n/a	n/a	n/a
134.306	0	sound	rb	2	11	2	1	1.691
137.839	0	feedback	rb	2	11	n/a	n/a	n/a
141.805	0	sound	rb	2	14	0	0	0
145.972	0	feedback	rb	2	14	n/a	n/a	n/a
149.305	0	sound	rb	1	10	1	1	1.299
153.688	0	feedback	rb	1	10	n/a	n/a	n/a
156.804	0	sound	rb	1	9	2	0	1.16
160.62	0	feedback	rb	1	9	n/a	n/a	n/a
164.303	0	sound	rb	2	19	1	0	1.885
168.036	0	feedback	rb	2	19	n/a	n/a	n/a
171.803	0	sound	rb	2	17	4	0	1.961
175.269	0	feedback	rb	2	17	n/a	n/a	n/a
179.319	0	sound	rb	4	34	4	1	1.436
183.235	0	feedback	rb	4	34	n/a	n/a	n/a
186.801	0	sound	rb	3	25	1	0	1.426
189.851	0	feedback	rb	3	25	n/a	n/a	n/a
194.301	0	sound	rb	3	26	1	0	1.702
198.034	0	feedback	rb	3	26	n/a	n/a	n/a
201.8	0	sound	rb	1	7	1	1	1.675
205.05	0	feedback	rb	1	7	n/a	n/a	n/a
209.299	0	sound	rb	1	4	1	1	1.216
212.399	0	feedback	rb	1	4	n/a	n/a	n/a
219.315	0	sound	rb	4	32	2	0	1.992
223.431	0	feedback	rb	4	32	n/a	n/a	n/a
229.314	0	sound	rb	3	28	3	1	1.824
232.63	0	feedback	rb	3	28	n/a	n/a	n/a
236.797	0	sound	rb	2	13	2	1	1.989
240.68	0	feedback	rb	2	13	n/a	n/a	n/a
244.313	0	sound	rb	3	21	1	0	1.953
247.546	0	feedback	rb	3	21	n/a	n/a	n/a
254.312	0	sound	rb	4	39	0	0	0
257.895	0	feedback	rb	4	39	n/a	n/a	n/a
261.811	0	sound	rb	2	16	4	0	1.158
266.277	0	feedback	rb	2	16	n/a	n/a	n/a
269.294	0	sound	rb	4	33	2	0	1.699
272.91	0	feedback	rb	4	33	n/a	n/a	n/a
276.793	0	sound	rb	1	8	1	1	1.48
280.926	0	feedback	rb	1	8	n/a	n/a	n/a
284.292	0	sound	rb	3	24	1	0	1.853
288.459	0	feedback	rb	3	24	n/a	n/a	n/a
291.792	0	sound	rb	3	27	3	1	1.009
295.725	0	feedback	rb	3	27	n/a	n/a	n/a
299.291	0	sound	rb	4	35	0	0	0
303.707	0	feedback	rb	4	35	n/a	n/a	n/a
309.307	0	sound	rb	1	1	1	1	1.397
312.806	0	feedback	rb	1	1	n/a	n/a	n/a
316.823	0	sound	rb	4	40	2	0	1.633
321.006	0	feedback	rb	4	40	n/a	n/a	n/a
326.805	0	sound	rb	2	12	2	1	1.875
330.788	0	feedback	rb	2	12	n/a	n/a	n/a
