onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.304	0	sound	rb	3	24	1	0	1.375
18.404	0	feedback	rb	3	24	n/a	n/a	n/a
21.804	0	sound	rb	3	21	3	1	1.099
25.337	0	feedback	rb	3	21	n/a	n/a	n/a
29.303	0	sound	rb	4	32	4	1	0.976
33.736	0	feedback	rb	4	32	n/a	n/a	n/a
36.819	0	sound	rb	1	9	2	0	1.083
39.652	0	feedback	rb	1	9	n/a	n/a	n/a
46.801	0	sound	rb	2	12	2	1	1.261
51.267	0	feedback	rb	2	12	n/a	n/a	n/a
54.317	0	sound	rb	2	16	2	1	1.081
57.084	0	feedback	rb	2	16	n/a	n/a	n/a
61.833	0	sound	rb	2	11	1	0	1.077
64.349	0	feedback	rb	2	11	n/a	n/a	n/a
69.332	0	sound	rb	4	34	2	0	1.354
73.465	0	feedback	rb	4	34	n/a	n/a	n/a
76.832	0	sound	rb	1	5	2	0	1.389
79.431	0	feedback	rb	1	5	n/a	n/a	n/a
84.314	0	sound	rb	4	38	4	1	1.067
88.347	0	feedback	rb	4	38	n/a	n/a	n/a
91.797	0	sound	rb	4	37	4	1	0.848
95.397	0	feedback	rb	4	37	n/a	n/a	n/a
101.813	0	sound	rb	2	17	3	0	1.527
105.596	0	feedback	rb	2	17	n/a	n/a	n/a
109.312	0	sound	rb	3	28	2	0	1.156
113.461	0	feedback	rb	3	28	n/a	n/a	n/a
119.311	0	sound	rb	4	40	3	0	1.117
122.627	0	feedback	rb	4	40	n/a	n/a	n/a
126.844	0	sound	rb	4	39	4	1	0.84
130.893	0	feedback	rb	4	39	n/a	n/a	n/a
134.326	0	sound	rb	3	29	3	1	0.966
137.843	0	feedback	rb	3	29	n/a	n/a	n/a
141.809	0	sound	rb	2	14	3	0	1.322
145.975	0	feedback	rb	2	14	n/a	n/a	n/a
151.824	0	sound	rb	1	7	1	1	0.835
156.174	0	feedback	rb	1	7	n/a	n/a	n/a
159.374	0	sound	rb	4	35	4	1	1.013
163.123	0	feedback	rb	4	35	n/a	n/a	n/a
166.84	0	sound	rb	1	3	1	1	0.811
170.523	0	feedback	rb	1	3	n/a	n/a	n/a
176.805	0	sound	rb	1	8	2	0	1.221
180.272	0	feedback	rb	1	8	n/a	n/a	n/a
184.338	0	sound	rb	4	36	3	0	1.008
188.254	0	feedback	rb	4	36	n/a	n/a	n/a
191.821	0	sound	rb	3	23	3	1	1.221
194.837	0	feedback	rb	3	23	n/a	n/a	n/a
201.803	0	sound	rb	3	26	1	0	0.847
205.536	0	feedback	rb	3	26	n/a	n/a	n/a
209.302	0	sound	rb	2	13	2	1	1.219
212.552	0	feedback	rb	2	13	n/a	n/a	n/a
216.818	0	sound	rb	4	33	4	1	1.087
219.885	0	feedback	rb	4	33	n/a	n/a	n/a
224.334	0	sound	rb	3	25	1	0	1.283
228.417	0	feedback	rb	3	25	n/a	n/a	n/a
234.333	0	sound	rb	1	10	1	1	0.868
237.633	0	feedback	rb	1	10	n/a	n/a	n/a
241.799	0	sound	rb	1	1	1	1	1.057
245.682	0	feedback	rb	1	1	n/a	n/a	n/a
249.299	0	sound	rb	1	2	2	0	1.117
252.532	0	feedback	rb	1	2	n/a	n/a	n/a
259.298	0	sound	rb	2	15	1	0	1.59
262.897	0	feedback	rb	2	15	n/a	n/a	n/a
266.814	0	sound	rb	2	18	2	1	0.922
271.263	0	feedback	rb	2	18	n/a	n/a	n/a
274.346	0	sound	rb	1	6	2	0	0.941
277.913	0	feedback	rb	1	6	n/a	n/a	n/a
281.812	0	sound	rb	1	4	1	1	1.035
285.928	0	feedback	rb	1	4	n/a	n/a	n/a
289.311	0	sound	rb	4	31	4	1	1.232
293.461	0	feedback	rb	4	31	n/a	n/a	n/a
296.794	0	sound	rb	2	19	4	0	1.261
300.744	0	feedback	rb	2	19	n/a	n/a	n/a
306.793	0	sound	rb	3	27	2	0	0.957
311.209	0	feedback	rb	3	27	n/a	n/a	n/a
314.292	0	sound	rb	3	30	3	1	1.122
317.809	0	feedback	rb	3	30	n/a	n/a	n/a
321.808	0	sound	rb	2	20	3	0	1.03
326.008	0	feedback	rb	2	20	n/a	n/a	n/a
331.807	0	sound	rb	3	22	2	0	1.047
335.774	0	feedback	rb	3	22	n/a	n/a	n/a
