onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.349	0	sound	rb	3	30	1	0	1.218
18.615	0	feedback	rb	3	30	n/a	n/a	n/a
24.331	0	sound	rb	1	4	3	0	1.076
28.014	0	feedback	rb	1	4	n/a	n/a	n/a
34.313	0	sound	rb	3	23	3	1	1.846
38.296	0	feedback	rb	3	23	n/a	n/a	n/a
41.796	0	sound	rb	2	18	3	0	1.722
44.529	0	feedback	rb	2	18	n/a	n/a	n/a
49.345	0	sound	rb	4	40	2	0	1.245
53.528	0	feedback	rb	4	40	n/a	n/a	n/a
56.845	0	sound	rb	1	2	2	0	1.777
60.028	0	feedback	rb	1	2	n/a	n/a	n/a
64.294	0	sound	rb	2	15	3	0	1.64
68.36	0	feedback	rb	2	15	n/a	n/a	n/a
71.793	0	sound	rb	2	16	1	0	1.5
75.393	0	feedback	rb	2	16	n/a	n/a	n/a
79.309	0	sound	rb	1	10	2	0	1.088
83.642	0	feedback	rb	1	10	n/a	n/a	n/a
86.858	0	sound	rb	2	13	4	0	1.795
89.475	0	feedback	rb	2	13	n/a	n/a	n/a
94.308	0	sound	rb	4	32	0	0	0
97.191	0	feedback	rb	4	32	n/a	n/a	n/a
101.79	0	sound	rb	2	11	1	0	1.207
104.673	0	feedback	rb	2	11	n/a	n/a	n/a
109.306	0	sound	rb	2	20	2	1	1.162
113.689	0	feedback	rb	2	20	n/a	n/a	n/a
116.806	0	sound	rb	3	21	2	0	1.43
120.988	0	feedback	rb	3	21	n/a	n/a	n/a
126.788	0	sound	rb	4	31	4	1	1.72
130.188	0	feedback	rb	4	31	n/a	n/a	n/a
136.804	0	sound	rb	4	36	4	1	1.4
139.62	0	feedback	rb	4	36	n/a	n/a	n/a
144.32	0	sound	rb	3	29	0	0	0
148.752	0	feedback	rb	3	29	n/a	n/a	n/a
151.802	0	sound	rb	4	38	4	1	1.249
155.635	0	feedback	rb	4	38	n/a	n/a	n/a
159.302	0	sound	rb	3	24	2	0	1.285
162.984	0	feedback	rb	3	24	n/a	n/a	n/a
166.801	0	sound	rb	3	26	3	1	1.386
170.784	0	feedback	rb	3	26	n/a	n/a	n/a
174.333	0	sound	rb	4	35	2	0	1.077
177.733	0	feedback	rb	4	35	n/a	n/a	n/a
184.316	0	sound	rb	1	3	1	1	1.006
187.332	0	feedback	rb	1	3	n/a	n/a	n/a
191.798	0	sound	rb	3	25	2	0	1.204
195.781	0	feedback	rb	3	25	n/a	n/a	n/a
199.298	0	sound	rb	4	34	4	1	1.072
202.447	0	feedback	rb	4	34	n/a	n/a	n/a
206.797	0	sound	rb	2	14	4	0	1.548
210.68	0	feedback	rb	2	14	n/a	n/a	n/a
214.296	0	sound	rb	3	28	2	0	1.129
218.046	0	feedback	rb	3	28	n/a	n/a	n/a
224.329	0	sound	rb	2	19	1	0	1.032
227.512	0	feedback	rb	2	19	n/a	n/a	n/a
231.795	0	sound	rb	1	8	2	0	1.23
235.544	0	feedback	rb	1	8	n/a	n/a	n/a
239.294	0	sound	rb	1	7	1	1	1.115
243.66	0	feedback	rb	1	7	n/a	n/a	n/a
246.827	0	sound	rb	1	5	2	0	1.253
251.276	0	feedback	rb	1	5	n/a	n/a	n/a
256.776	0	sound	rb	3	27	2	0	0.992
261.242	0	feedback	rb	3	27	n/a	n/a	n/a
266.791	0	sound	rb	2	12	4	0	0.913
270.708	0	feedback	rb	2	12	n/a	n/a	n/a
274.274	0	sound	rb	4	33	4	1	0.902
278.607	0	feedback	rb	4	33	n/a	n/a	n/a
284.29	0	sound	rb	4	39	3	0	1.333
286.839	0	feedback	rb	4	39	n/a	n/a	n/a
291.789	0	sound	rb	1	9	3	0	0.938
295.822	0	feedback	rb	1	9	n/a	n/a	n/a
299.322	0	sound	rb	1	1	1	1	1.037
303.654	0	feedback	rb	1	1	n/a	n/a	n/a
306.788	0	sound	rb	1	6	1	1	1.075
310.787	0	feedback	rb	1	6	n/a	n/a	n/a
314.27	0	sound	rb	2	17	2	1	1.056
318.22	0	feedback	rb	2	17	n/a	n/a	n/a
324.286	0	sound	rb	3	22	3	1	1.472
327.002	0	feedback	rb	3	22	n/a	n/a	n/a
331.802	0	sound	rb	4	37	4	1	0.964
335.251	0	feedback	rb	4	37	n/a	n/a	n/a
