onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.394	0	sound	ii	2	16	4	0	1.117
18.411	0	feedback	ii	2	16	n/a	n/a	n/a
21.81	0	sound	ii	4	38	4	1	0.853
25.327	0	feedback	ii	4	38	n/a	n/a	n/a
31.826	0	sound	ii	4	33	3	0	1.052
36.242	0	feedback	ii	4	33	n/a	n/a	n/a
39.309	0	sound	ii	2	15	2	1	1.257
42.142	0	feedback	ii	2	15	n/a	n/a	n/a
46.841	0	sound	ii	2	19	1	0	1.045
51.257	0	feedback	ii	2	19	n/a	n/a	n/a
54.324	0	sound	ii	4	39	3	0	1.186
57.057	0	feedback	ii	4	39	n/a	n/a	n/a
61.79	0	sound	ii	2	18	1	0	1.368
64.339	0	feedback	ii	2	18	n/a	n/a	n/a
69.306	0	sound	ii	4	34	4	1	1.075
73.439	0	feedback	ii	4	34	n/a	n/a	n/a
76.822	0	sound	ii	3	24	2	0	0.951
79.421	0	feedback	ii	3	24	n/a	n/a	n/a
84.338	0	sound	ii	1	9	2	0	0.931
88.337	0	feedback	ii	1	9	n/a	n/a	n/a
91.803	0	sound	ii	2	11	2	1	1.146
95.386	0	feedback	ii	2	11	n/a	n/a	n/a
99.286	0	sound	ii	1	7	3	0	1.878
103.086	0	feedback	ii	1	7	n/a	n/a	n/a
109.285	0	sound	ii	3	26	2	0	1.407
113.451	0	feedback	ii	3	26	n/a	n/a	n/a
116.801	0	sound	ii	3	27	4	0	1.539
120.117	0	feedback	ii	3	27	n/a	n/a	n/a
124.35	0	sound	ii	4	31	4	1	0.854
128.367	0	feedback	ii	4	31	n/a	n/a	n/a
131.833	0	sound	ii	3	22	4	0	1.354
135.316	0	feedback	ii	3	22	n/a	n/a	n/a
139.299	0	sound	ii	1	8	3	0	1.496
143.465	0	feedback	ii	1	8	n/a	n/a	n/a
146.815	0	sound	ii	2	13	2	1	1.98
151.164	0	feedback	ii	2	13	n/a	n/a	n/a
154.314	0	sound	ii	3	25	4	0	1.281
158.097	0	feedback	ii	3	25	n/a	n/a	n/a
161.83	0	sound	ii	1	1	1	1	1.124
165.513	0	feedback	ii	1	1	n/a	n/a	n/a
169.296	0	sound	ii	1	5	4	0	0.882
172.762	0	feedback	ii	1	5	n/a	n/a	n/a
176.812	0	sound	ii	3	21	4	0	1.254
180.745	0	feedback	ii	3	21	n/a	n/a	n/a
186.794	0	sound	ii	1	10	4	0	0.847
189.827	0	feedback	ii	1	10	n/a	n/a	n/a
194.293	0	sound	ii	1	4	4	0	1.236
198.01	0	feedback	ii	1	4	n/a	n/a	n/a
204.292	0	sound	ii	3	30	1	0	1.125
207.542	0	feedback	ii	3	30	n/a	n/a	n/a
214.325	0	sound	ii	4	35	4	1	1.292
217.374	0	feedback	ii	4	35	n/a	n/a	n/a
221.791	0	sound	ii	1	3	2	0	1.209
225.907	0	feedback	ii	1	3	n/a	n/a	n/a
231.79	0	sound	ii	3	23	3	1	1.474
235.123	0	feedback	ii	3	23	n/a	n/a	n/a
241.805	0	sound	ii	3	28	2	0	1.211
245.672	0	feedback	ii	3	28	n/a	n/a	n/a
249.288	0	sound	ii	2	20	2	1	1.111
252.538	0	feedback	ii	2	20	n/a	n/a	n/a
259.287	0	sound	ii	2	12	1	0	1.112
262.887	0	feedback	ii	2	12	n/a	n/a	n/a
266.786	0	sound	ii	1	6	1	1	1.629
271.252	0	feedback	ii	1	6	n/a	n/a	n/a
274.302	0	sound	ii	4	32	3	0	1.833
277.902	0	feedback	ii	4	32	n/a	n/a	n/a
281.785	0	sound	ii	2	17	4	0	1.054
285.918	0	feedback	ii	2	17	n/a	n/a	n/a
289.334	0	sound	ii	4	37	3	0	1.696
293.45	0	feedback	ii	4	37	n/a	n/a	n/a
296.8	0	sound	ii	4	40	3	0	1.23
300.733	0	feedback	ii	4	40	n/a	n/a	n/a
306.816	0	sound	ii	3	29	4	0	1.19
311.199	0	feedback	ii	3	29	n/a	n/a	n/a
314.298	0	sound	ii	2	14	1	0	1.315
317.815	0	feedback	ii	2	14	n/a	n/a	n/a
324.297	0	sound	ii	4	36	3	0	1.3
328.497	0	feedback	ii	4	36	n/a	n/a	n/a
331.797	0	sound	ii	1	2	2	0	1.448
335.763	0	feedback	ii	1	2	n/a	n/a	n/a
