onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.32	0	sound	ii	2	13	3	0	1.912
16.903	0	feedback	ii	2	13	n/a	n/a	n/a
21.802	0	sound	ii	1	10	2	0	1.325
26.035	0	feedback	ii	1	10	n/a	n/a	n/a
29.302	0	sound	ii	3	25	2	0	1.969
31.885	0	feedback	ii	3	25	n/a	n/a	n/a
36.801	0	sound	ii	4	38	4	1	0.846
41.084	0	feedback	ii	4	38	n/a	n/a	n/a
44.3	0	sound	ii	3	24	4	0	1.227
48.683	0	feedback	ii	3	24	n/a	n/a	n/a
51.799	0	sound	ii	2	20	2	1	1.52
55.866	0	feedback	ii	2	20	n/a	n/a	n/a
59.299	0	sound	ii	4	31	0	0	0
63.348	0	feedback	ii	4	31	n/a	n/a	n/a
66.798	0	sound	ii	4	34	4	1	0.952
70.548	0	feedback	ii	4	34	n/a	n/a	n/a
74.314	0	sound	ii	4	33	4	1	1.3
78.38	0	feedback	ii	4	33	n/a	n/a	n/a
81.813	0	sound	ii	1	6	2	0	1.537
85.546	0	feedback	ii	1	6	n/a	n/a	n/a
89.296	0	sound	ii	1	8	1	1	1.262
93.196	0	feedback	ii	1	8	n/a	n/a	n/a
96.795	0	sound	ii	4	39	0	0	0
100.078	0	feedback	ii	4	39	n/a	n/a	n/a
106.828	0	sound	ii	2	19	1	0	1.497
110.311	0	feedback	ii	2	19	n/a	n/a	n/a
114.294	0	sound	ii	3	26	3	1	1.263
117.677	0	feedback	ii	3	26	n/a	n/a	n/a
121.793	0	sound	ii	1	3	2	0	1.796
124.859	0	feedback	ii	1	3	n/a	n/a	n/a
129.292	0	sound	ii	2	17	2	1	1.849
132.292	0	feedback	ii	2	17	n/a	n/a	n/a
136.792	0	sound	ii	1	9	2	0	1.596
140.625	0	feedback	ii	1	9	n/a	n/a	n/a
144.324	0	sound	ii	4	32	4	1	1.552
148.207	0	feedback	ii	4	32	n/a	n/a	n/a
154.307	0	sound	ii	2	15	2	1	1.505
157.99	0	feedback	ii	2	15	n/a	n/a	n/a
161.789	0	sound	ii	2	11	1	0	1.567
166.022	0	feedback	ii	2	11	n/a	n/a	n/a
169.289	0	sound	ii	4	36	4	1	1.067
172.172	0	feedback	ii	4	36	n/a	n/a	n/a
179.288	0	sound	ii	3	28	3	1	1.211
183.604	0	feedback	ii	3	28	n/a	n/a	n/a
186.804	0	sound	ii	1	7	0	0	0
189.954	0	feedback	ii	1	7	n/a	n/a	n/a
194.32	0	sound	ii	2	18	1	0	1.547
198.636	0	feedback	ii	2	18	n/a	n/a	n/a
204.286	0	sound	ii	1	1	2	0	1.861
208.752	0	feedback	ii	1	1	n/a	n/a	n/a
211.835	0	sound	ii	3	27	3	1	1.279
214.818	0	feedback	ii	3	27	n/a	n/a	n/a
221.801	0	sound	ii	4	37	4	1	0.881
225.867	0	feedback	ii	4	37	n/a	n/a	n/a
229.3	0	sound	ii	2	16	2	1	1.574
233.166	0	feedback	ii	2	16	n/a	n/a	n/a
236.783	0	sound	ii	1	4	2	0	1.419
240.716	0	feedback	ii	1	4	n/a	n/a	n/a
246.798	0	sound	ii	2	12	2	1	1.612
251.231	0	feedback	ii	2	12	n/a	n/a	n/a
254.298	0	sound	ii	4	40	4	1	1.087
257.381	0	feedback	ii	4	40	n/a	n/a	n/a
261.814	0	sound	ii	3	22	4	0	1.147
265.563	0	feedback	ii	3	22	n/a	n/a	n/a
269.296	0	sound	ii	3	30	3	1	1.113
272.546	0	feedback	ii	3	30	n/a	n/a	n/a
276.779	0	sound	ii	3	29	3	1	1.062
280.279	0	feedback	ii	3	29	n/a	n/a	n/a
286.795	0	sound	ii	2	14	3	0	1.262
289.678	0	feedback	ii	2	14	n/a	n/a	n/a
294.294	0	sound	ii	4	35	4	1	0.85
298.077	0	feedback	ii	4	35	n/a	n/a	n/a
304.293	0	sound	ii	1	2	1	1	1.507
307.293	0	feedback	ii	1	2	n/a	n/a	n/a
311.809	0	sound	ii	3	23	2	0	1.415
315.425	0	feedback	ii	3	23	n/a	n/a	n/a
319.292	0	sound	ii	3	21	3	1	1.692
323.041	0	feedback	ii	3	21	n/a	n/a	n/a
329.307	0	sound	ii	1	5	3	0	1.388
333.474	0	feedback	ii	1	5	n/a	n/a	n/a
