onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.289	0	sound	ii	3	21	4	0	1.391
18.405	0	feedback	ii	3	21	n/a	n/a	n/a
21.804	0	sound	ii	2	13	2	1	1.139
25.321	0	feedback	ii	2	13	n/a	n/a	n/a
29.304	0	sound	ii	4	38	4	1	0.879
33.737	0	feedback	ii	4	38	n/a	n/a	n/a
39.303	0	sound	ii	1	6	2	0	1.712
42.136	0	feedback	ii	1	6	n/a	n/a	n/a
46.802	0	sound	ii	1	3	1	1	1.061
51.268	0	feedback	ii	1	3	n/a	n/a	n/a
54.301	0	sound	ii	4	33	4	1	0.906
57.068	0	feedback	ii	4	33	n/a	n/a	n/a
64.3	0	sound	ii	3	28	3	1	1.802
66.834	0	feedback	ii	3	28	n/a	n/a	n/a
74.333	0	sound	ii	2	18	2	1	1.289
78.449	0	feedback	ii	2	18	n/a	n/a	n/a
81.799	0	sound	ii	3	22	4	0	1.199
84.432	0	feedback	ii	3	22	n/a	n/a	n/a
91.848	0	sound	ii	3	25	2	0	1.47
95.848	0	feedback	ii	3	25	n/a	n/a	n/a
99.297	0	sound	ii	3	24	3	1	1.3
102.88	0	feedback	ii	3	24	n/a	n/a	n/a
106.797	0	sound	ii	1	10	2	0	1.376
110.58	0	feedback	ii	1	10	n/a	n/a	n/a
114.296	0	sound	ii	2	19	1	0	1.949
118.462	0	feedback	ii	2	19	n/a	n/a	n/a
124.295	0	sound	ii	3	26	3	1	1.654
127.611	0	feedback	ii	3	26	n/a	n/a	n/a
131.794	0	sound	ii	2	16	1	0	1.411
135.861	0	feedback	ii	2	16	n/a	n/a	n/a
139.294	0	sound	ii	1	8	2	0	1.566
142.827	0	feedback	ii	1	8	n/a	n/a	n/a
146.81	0	sound	ii	4	39	3	0	1.194
150.959	0	feedback	ii	4	39	n/a	n/a	n/a
154.292	0	sound	ii	1	1	4	0	1.312
158.675	0	feedback	ii	1	1	n/a	n/a	n/a
164.308	0	sound	ii	2	14	1	0	1.592
168.108	0	feedback	ii	2	14	n/a	n/a	n/a
174.307	0	sound	ii	2	17	3	0	1.456
178.023	0	feedback	ii	2	17	n/a	n/a	n/a
181.806	0	sound	ii	1	5	2	0	1.197
185.256	0	feedback	ii	1	5	n/a	n/a	n/a
189.306	0	sound	ii	1	4	2	0	1.409
193.239	0	feedback	ii	1	4	n/a	n/a	n/a
196.788	0	sound	ii	3	29	4	0	1.175
199.838	0	feedback	ii	3	29	n/a	n/a	n/a
206.787	0	sound	ii	2	15	1	0	1.424
210.52	0	feedback	ii	2	15	n/a	n/a	n/a
214.303	0	sound	ii	1	2	1	1	1.611
217.536	0	feedback	ii	1	2	n/a	n/a	n/a
221.819	0	sound	ii	4	35	4	1	1.279
224.886	0	feedback	ii	4	35	n/a	n/a	n/a
229.285	0	sound	ii	2	20	1	0	1.693
233.402	0	feedback	ii	2	20	n/a	n/a	n/a
236.801	0	sound	ii	4	36	4	1	1.049
240.134	0	feedback	ii	4	36	n/a	n/a	n/a
244.284	0	sound	ii	1	9	1	1	1.905
248.184	0	feedback	ii	1	9	n/a	n/a	n/a
251.783	0	sound	ii	4	40	3	0	1.178
255.033	0	feedback	ii	4	40	n/a	n/a	n/a
259.283	0	sound	ii	4	37	4	1	0.846
262.882	0	feedback	ii	4	37	n/a	n/a	n/a
266.815	0	sound	ii	4	34	4	1	0.85
271.248	0	feedback	ii	4	34	n/a	n/a	n/a
274.281	0	sound	ii	4	31	4	1	1.272
277.898	0	feedback	ii	4	31	n/a	n/a	n/a
281.781	0	sound	ii	2	11	2	1	1.604
285.914	0	feedback	ii	2	11	n/a	n/a	n/a
289.28	0	sound	ii	1	7	2	0	1.664
293.446	0	feedback	ii	1	7	n/a	n/a	n/a
296.796	0	sound	ii	2	12	2	1	1.836
300.729	0	feedback	ii	2	12	n/a	n/a	n/a
304.295	0	sound	ii	3	30	2	0	1.393
308.711	0	feedback	ii	3	30	n/a	n/a	n/a
311.778	0	sound	ii	3	27	2	0	1.198
315.294	0	feedback	ii	3	27	n/a	n/a	n/a
319.277	0	sound	ii	3	23	1	0	1.787
323.493	0	feedback	ii	3	23	n/a	n/a	n/a
329.31	0	sound	ii	4	32	3	0	1.057
333.259	0	feedback	ii	4	32	n/a	n/a	n/a
