onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
11.816	0	sound	rb	4	31	1	0	1.464
16.283	0	feedback	rb	4	31	n/a	n/a	n/a
21.815	0	sound	rb	2	20	1	0	0.849
26.065	0	feedback	rb	2	20	n/a	n/a	n/a
29.298	0	sound	rb	4	40	3	0	1.509
32.964	0	feedback	rb	4	40	n/a	n/a	n/a
36.814	0	sound	rb	3	26	1	0	1.289
40.48	0	feedback	rb	3	26	n/a	n/a	n/a
44.33	0	sound	rb	1	10	1	1	0.837
48.696	0	feedback	rb	1	10	n/a	n/a	n/a
51.813	0	sound	rb	2	13	1	0	1.178
55.895	0	feedback	rb	2	13	n/a	n/a	n/a
61.895	0	sound	rb	1	4	1	1	1.095
65.161	0	feedback	rb	1	4	n/a	n/a	n/a
71.811	0	sound	rb	3	27	3	1	1.475
74.61	0	feedback	rb	3	27	n/a	n/a	n/a
79.31	0	sound	rb	2	17	3	0	1.264
83.293	0	feedback	rb	2	17	n/a	n/a	n/a
86.826	0	sound	rb	3	22	3	1	1.132
89.376	0	feedback	rb	3	22	n/a	n/a	n/a
94.325	0	sound	rb	3	28	3	1	1.169
98.625	0	feedback	rb	3	28	n/a	n/a	n/a
101.841	0	sound	rb	1	3	1	1	0.956
105.707	0	feedback	rb	1	3	n/a	n/a	n/a
109.324	0	sound	rb	4	32	3	0	1.521
112.307	0	feedback	rb	4	32	n/a	n/a	n/a
116.84	0	sound	rb	3	30	4	0	1.293
121.256	0	feedback	rb	3	30	n/a	n/a	n/a
124.306	0	sound	rb	2	12	4	0	1.859
128.289	0	feedback	rb	2	12	n/a	n/a	n/a
134.321	0	sound	rb	2	19	1	0	0.899
138.371	0	feedback	rb	2	19	n/a	n/a	n/a
141.804	0	sound	rb	4	34	3	0	1.504
145.287	0	feedback	rb	4	34	n/a	n/a	n/a
149.303	0	sound	rb	2	15	1	0	1.181
153.553	0	feedback	rb	2	15	n/a	n/a	n/a
156.836	0	sound	rb	4	38	3	0	1.192
160.152	0	feedback	rb	4	38	n/a	n/a	n/a
164.302	0	sound	rb	3	24	0	0	0
167.535	0	feedback	rb	3	24	n/a	n/a	n/a
174.334	0	sound	rb	4	39	2	0	1.493
178.301	0	feedback	rb	4	39	n/a	n/a	n/a
181.817	0	sound	rb	4	37	4	1	1.442
185.4	0	feedback	rb	4	37	n/a	n/a	n/a
191.866	0	sound	rb	1	9	3	0	1.769
195.416	0	feedback	rb	1	9	n/a	n/a	n/a
199.299	0	sound	rb	4	35	3	0	1.247
203.581	0	feedback	rb	4	35	n/a	n/a	n/a
206.831	0	sound	rb	1	5	1	1	0.755
211.231	0	feedback	rb	1	5	n/a	n/a	n/a
214.297	0	sound	rb	1	6	1	1	1.073
217.147	0	feedback	rb	1	6	n/a	n/a	n/a
224.313	0	sound	rb	3	23	3	1	1.161
227.979	0	feedback	rb	3	23	n/a	n/a	n/a
231.812	0	sound	rb	1	7	1	1	1.061
235.778	0	feedback	rb	1	7	n/a	n/a	n/a
239.311	0	sound	rb	2	16	1	0	0.634
243.694	0	feedback	rb	2	16	n/a	n/a	n/a
246.827	0	sound	rb	4	36	3	0	1.206
250.81	0	feedback	rb	4	36	n/a	n/a	n/a
254.327	0	sound	rb	4	33	3	0	1.362
258.36	0	feedback	rb	4	33	n/a	n/a	n/a
261.809	0	sound	rb	2	18	1	0	1.16
265.559	0	feedback	rb	2	18	n/a	n/a	n/a
269.292	0	sound	rb	3	29	4	0	1.42
273.308	0	feedback	rb	3	29	n/a	n/a	n/a
276.808	0	sound	rb	1	8	1	1	0.864
280.408	0	feedback	rb	1	8	n/a	n/a	n/a
284.29	0	sound	rb	2	11	1	0	0.958
287.274	0	feedback	rb	2	11	n/a	n/a	n/a
291.806	0	sound	rb	1	2	1	1	1.09
296.173	0	feedback	rb	1	2	n/a	n/a	n/a
299.322	0	sound	rb	1	1	2	0	1.029
302.455	0	feedback	rb	1	1	n/a	n/a	n/a
306.788	0	sound	rb	2	14	3	0	1.395
309.305	0	feedback	rb	2	14	n/a	n/a	n/a
316.787	0	sound	rb	3	25	3	1	1.308
320.454	0	feedback	rb	3	25	n/a	n/a	n/a
326.836	0	sound	rb	3	21	3	1	1.027
330.519	0	feedback	rb	3	21	n/a	n/a	n/a
