onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.325	0	sound	rb	1	10	3	0	1.035
18.408	0	feedback	rb	1	10	n/a	n/a	n/a
21.825	0	sound	rb	4	40	3	0	0.926
25.341	0	feedback	rb	4	40	n/a	n/a	n/a
29.307	0	sound	rb	4	34	4	1	0.932
33.74	0	feedback	rb	4	34	n/a	n/a	n/a
36.806	0	sound	rb	3	29	0	0	0
39.639	0	feedback	rb	3	29	n/a	n/a	n/a
46.805	0	sound	rb	4	32	4	1	0.738
51.272	0	feedback	rb	4	32	n/a	n/a	n/a
54.321	0	sound	rb	4	38	4	1	1.373
57.071	0	feedback	rb	4	38	n/a	n/a	n/a
61.821	0	sound	rb	3	24	1	0	1.393
64.337	0	feedback	rb	3	24	n/a	n/a	n/a
71.82	0	sound	rb	3	26	3	1	1.418
75.953	0	feedback	rb	3	26	n/a	n/a	n/a
79.302	0	sound	rb	3	22	3	1	1.072
81.935	0	feedback	rb	3	22	n/a	n/a	n/a
86.835	0	sound	rb	4	39	4	1	1.339
90.851	0	feedback	rb	4	39	n/a	n/a	n/a
94.301	0	sound	rb	2	15	1	0	1.592
97.901	0	feedback	rb	2	15	n/a	n/a	n/a
104.333	0	sound	rb	1	3	2	0	1.608
108.1	0	feedback	rb	1	3	n/a	n/a	n/a
111.799	0	sound	rb	2	18	3	0	1.342
115.966	0	feedback	rb	2	18	n/a	n/a	n/a
121.898	0	sound	rb	3	27	3	1	1.139
125.131	0	feedback	rb	3	27	n/a	n/a	n/a
129.298	0	sound	rb	3	25	4	0	0.898
133.381	0	feedback	rb	3	25	n/a	n/a	n/a
139.313	0	sound	rb	1	9	3	0	1.067
142.83	0	feedback	rb	1	9	n/a	n/a	n/a
149.296	0	sound	rb	3	30	3	1	1.196
153.462	0	feedback	rb	3	30	n/a	n/a	n/a
156.812	0	sound	rb	3	21	2	0	1.607
161.178	0	feedback	rb	3	21	n/a	n/a	n/a
164.311	0	sound	rb	1	6	4	0	1.06
168.111	0	feedback	rb	1	6	n/a	n/a	n/a
171.81	0	sound	rb	1	1	3	0	0.969
175.51	0	feedback	rb	1	1	n/a	n/a	n/a
179.293	0	sound	rb	2	12	1	0	0.926
182.759	0	feedback	rb	2	12	n/a	n/a	n/a
189.292	0	sound	rb	3	23	2	0	1.119
193.242	0	feedback	rb	3	23	n/a	n/a	n/a
196.841	0	sound	rb	2	17	3	0	0.977
199.841	0	feedback	rb	2	17	n/a	n/a	n/a
204.307	0	sound	rb	2	14	3	0	1.055
208.007	0	feedback	rb	2	14	n/a	n/a	n/a
211.806	0	sound	rb	1	4	3	0	1.196
215.039	0	feedback	rb	1	4	n/a	n/a	n/a
219.306	0	sound	rb	2	19	1	0	1.44
222.389	0	feedback	rb	2	19	n/a	n/a	n/a
226.805	0	sound	rb	2	13	3	0	1.604
230.921	0	feedback	rb	2	13	n/a	n/a	n/a
234.321	0	sound	rb	2	20	4	0	0.848
237.637	0	feedback	rb	2	20	n/a	n/a	n/a
241.787	0	sound	rb	2	16	3	0	1.158
245.67	0	feedback	rb	2	16	n/a	n/a	n/a
249.286	0	sound	rb	4	31	3	0	1.003
252.536	0	feedback	rb	4	31	n/a	n/a	n/a
259.285	0	sound	rb	2	11	4	0	1.091
262.885	0	feedback	rb	2	11	n/a	n/a	n/a
266.835	0	sound	rb	1	7	4	0	1.253
271.251	0	feedback	rb	1	7	n/a	n/a	n/a
274.301	0	sound	rb	4	33	3	0	1.531
277.9	0	feedback	rb	4	33	n/a	n/a	n/a
284.3	0	sound	rb	4	37	4	1	1.108
288.416	0	feedback	rb	4	37	n/a	n/a	n/a
291.816	0	sound	rb	1	2	4	0	1.248
295.965	0	feedback	rb	1	2	n/a	n/a	n/a
299.298	0	sound	rb	1	8	3	0	0.909
303.231	0	feedback	rb	1	8	n/a	n/a	n/a
306.781	0	sound	rb	3	28	4	0	1.154
311.197	0	feedback	rb	3	28	n/a	n/a	n/a
314.297	0	sound	rb	4	35	3	0	0.958
317.813	0	feedback	rb	4	35	n/a	n/a	n/a
321.796	0	sound	rb	4	36	4	1	1.539
325.996	0	feedback	rb	4	36	n/a	n/a	n/a
329.279	0	sound	rb	1	5	4	0	1.191
333.262	0	feedback	rb	1	5	n/a	n/a	n/a
