onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.342	0	sound	ii	1	5	2	0	1.473
17.608	0	feedback	ii	1	5	n/a	n/a	n/a
21.858	0	sound	ii	4	36	4	1	1.421
25.941	0	feedback	ii	4	36	n/a	n/a	n/a
29.374	0	sound	ii	3	23	1	0	1.225
32.057	0	feedback	ii	3	23	n/a	n/a	n/a
36.806	0	sound	ii	4	38	4	1	0.913
41.073	0	feedback	ii	4	38	n/a	n/a	n/a
44.356	0	sound	ii	4	35	4	1	0.97
46.955	0	feedback	ii	4	35	n/a	n/a	n/a
51.838	0	sound	ii	4	32	4	1	1.28
54.421	0	feedback	ii	4	32	n/a	n/a	n/a
59.337	0	sound	ii	3	28	0	0	0
63.57	0	feedback	ii	3	28	n/a	n/a	n/a
69.32	0	sound	ii	3	25	3	1	1.285
72.186	0	feedback	ii	3	25	n/a	n/a	n/a
76.802	0	sound	ii	1	7	1	1	1.323
79.752	0	feedback	ii	1	7	n/a	n/a	n/a
84.335	0	sound	ii	1	2	1	1	0.846
88.434	0	feedback	ii	1	2	n/a	n/a	n/a
94.301	0	sound	ii	2	18	1	0	0.639
97.567	0	feedback	ii	2	18	n/a	n/a	n/a
101.866	0	sound	ii	1	8	2	0	0.882
106.049	0	feedback	ii	1	8	n/a	n/a	n/a
109.299	0	sound	ii	4	40	4	1	1.569
113.249	0	feedback	ii	4	40	n/a	n/a	n/a
116.798	0	sound	ii	4	37	4	1	0.821
119.381	0	feedback	ii	4	37	n/a	n/a	n/a
126.797	0	sound	ii	1	1	2	0	1.79
130.013	0	feedback	ii	1	1	n/a	n/a	n/a
136.796	0	sound	ii	1	9	1	1	1.127
141.212	0	feedback	ii	1	9	n/a	n/a	n/a
144.312	0	sound	ii	1	6	1	1	0.675
148.445	0	feedback	ii	1	6	n/a	n/a	n/a
151.828	0	sound	ii	3	30	3	1	1.758
154.361	0	feedback	ii	3	30	n/a	n/a	n/a
159.294	0	sound	ii	2	13	1	0	1.132
162.727	0	feedback	ii	2	13	n/a	n/a	n/a
166.81	0	sound	ii	1	4	2	0	1.144
170.826	0	feedback	ii	1	4	n/a	n/a	n/a
174.309	0	sound	ii	3	22	4	0	1.204
176.859	0	feedback	ii	3	22	n/a	n/a	n/a
181.875	0	sound	ii	2	20	1	0	1.71
185.708	0	feedback	ii	2	20	n/a	n/a	n/a
189.307	0	sound	ii	2	17	0	0	0
193.674	0	feedback	ii	2	17	n/a	n/a	n/a
199.29	0	sound	ii	2	16	3	0	1.038
203.673	0	feedback	ii	2	16	n/a	n/a	n/a
206.789	0	sound	ii	3	24	4	0	0.955
210.688	0	feedback	ii	3	24	n/a	n/a	n/a
214.355	0	sound	ii	4	33	4	1	0.869
218.088	0	feedback	ii	4	33	n/a	n/a	n/a
221.804	0	sound	ii	4	39	0	0	0
225.537	0	feedback	ii	4	39	n/a	n/a	n/a
231.803	0	sound	ii	2	19	3	0	1.02
235.553	0	feedback	ii	2	19	n/a	n/a	n/a
241.819	0	sound	ii	2	11	2	1	0.956
245.018	0	feedback	ii	2	11	n/a	n/a	n/a
249.301	0	sound	ii	2	12	2	1	1.065
253.384	0	feedback	ii	2	12	n/a	n/a	n/a
259.317	0	sound	ii	3	29	4	0	1.129
262.783	0	feedback	ii	3	29	n/a	n/a	n/a
266.833	0	sound	ii	4	31	4	1	1.005
270.216	0	feedback	ii	4	31	n/a	n/a	n/a
274.315	0	sound	ii	3	27	0	0	0
277.732	0	feedback	ii	3	27	n/a	n/a	n/a
281.814	0	sound	ii	2	14	0	0	0
285.981	0	feedback	ii	2	14	n/a	n/a	n/a
289.28	0	sound	ii	1	3	3	0	0.885
291.913	0	feedback	ii	1	3	n/a	n/a	n/a
299.313	0	sound	ii	4	34	4	1	1.124
303.312	0	feedback	ii	4	34	n/a	n/a	n/a
306.795	0	sound	ii	3	21	1	0	1.257
310.161	0	feedback	ii	3	21	n/a	n/a	n/a
314.311	0	sound	ii	2	15	1	0	1.245
317.844	0	feedback	ii	2	15	n/a	n/a	n/a
321.81	0	sound	ii	1	10	2	0	1.418
325.177	0	feedback	ii	1	10	n/a	n/a	n/a
331.793	0	sound	ii	3	26	0	0	0
335.209	0	feedback	ii	3	26	n/a	n/a	n/a
