onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.376	0	sound	ii	1	4	0	0	0
18.626	0	feedback	ii	1	4	n/a	n/a	n/a
21.825	0	sound	ii	2	13	0	0	0
25.525	0	feedback	ii	2	13	n/a	n/a	n/a
29.325	0	sound	ii	3	23	3	1	1.194
33.308	0	feedback	ii	3	23	n/a	n/a	n/a
36.807	0	sound	ii	4	32	4	1	1.728
39.557	0	feedback	ii	4	32	n/a	n/a	n/a
44.307	0	sound	ii	4	35	1	0	1.388
48.539	0	feedback	ii	4	35	n/a	n/a	n/a
51.823	0	sound	ii	3	22	0	0	0
55.039	0	feedback	ii	3	22	n/a	n/a	n/a
59.322	0	sound	ii	2	19	3	0	1.084
63.371	0	feedback	ii	2	19	n/a	n/a	n/a
66.804	0	sound	ii	3	26	4	0	1.13
70.404	0	feedback	ii	3	26	n/a	n/a	n/a
74.32	0	sound	ii	2	17	0	0	0
78.637	0	feedback	ii	2	17	n/a	n/a	n/a
81.853	0	sound	ii	1	3	3	0	1.401
84.486	0	feedback	ii	1	3	n/a	n/a	n/a
89.302	0	sound	ii	1	2	4	0	1.351
92.202	0	feedback	ii	1	2	n/a	n/a	n/a
96.801	0	sound	ii	1	5	4	0	1.612
99.684	0	feedback	ii	1	5	n/a	n/a	n/a
106.8	0	sound	ii	3	21	0	0	0
111.183	0	feedback	ii	3	21	n/a	n/a	n/a
114.316	0	sound	ii	4	39	3	0	1.193
118.499	0	feedback	ii	4	39	n/a	n/a	n/a
121.799	0	sound	ii	4	37	0	0	0
125.199	0	feedback	ii	4	37	n/a	n/a	n/a
129.315	0	sound	ii	2	16	2	1	1.041
132.131	0	feedback	ii	2	16	n/a	n/a	n/a
136.814	0	sound	ii	1	8	3	0	1.686
141.264	0	feedback	ii	1	8	n/a	n/a	n/a
144.313	0	sound	ii	2	14	0	0	0
148.13	0	feedback	ii	2	14	n/a	n/a	n/a
151.813	0	sound	ii	4	40	4	1	1.102
155.496	0	feedback	ii	4	40	n/a	n/a	n/a
161.795	0	sound	ii	2	20	0	0	0
165.795	0	feedback	ii	2	20	n/a	n/a	n/a
169.311	0	sound	ii	1	6	0	0	0
172.761	0	feedback	ii	1	6	n/a	n/a	n/a
176.827	0	sound	ii	4	31	0	0	0
179.843	0	feedback	ii	4	31	n/a	n/a	n/a
184.326	0	sound	ii	2	11	0	0	0
188.309	0	feedback	ii	2	11	n/a	n/a	n/a
194.309	0	sound	ii	3	24	3	1	1.285
197.442	0	feedback	ii	3	24	n/a	n/a	n/a
201.808	0	sound	ii	4	36	0	0	0
205.691	0	feedback	ii	4	36	n/a	n/a	n/a
209.29	0	sound	ii	3	27	1	0	1.656
213.057	0	feedback	ii	3	27	n/a	n/a	n/a
216.79	0	sound	ii	1	1	3	0	1.915
220.006	0	feedback	ii	1	1	n/a	n/a	n/a
224.306	0	sound	ii	3	29	4	0	1.215
228.055	0	feedback	ii	3	29	n/a	n/a	n/a
231.805	0	sound	ii	3	25	0	0	0
236.171	0	feedback	ii	3	25	n/a	n/a	n/a
241.804	0	sound	ii	1	9	1	1	1.765
246.287	0	feedback	ii	1	9	n/a	n/a	n/a
251.803	0	sound	ii	4	38	3	0	1.189
256.252	0	feedback	ii	4	38	n/a	n/a	n/a
261.819	0	sound	ii	3	28	3	1	1.037
265.735	0	feedback	ii	3	28	n/a	n/a	n/a
271.801	0	sound	ii	2	12	3	0	1.303
276.117	0	feedback	ii	2	12	n/a	n/a	n/a
281.8	0	sound	ii	4	33	1	0	1.271
284.35	0	feedback	ii	4	33	n/a	n/a	n/a
291.799	0	sound	ii	1	7	1	1	1.768
295.832	0	feedback	ii	1	7	n/a	n/a	n/a
299.298	0	sound	ii	4	34	3	0	1.317
303.664	0	feedback	ii	4	34	n/a	n/a	n/a
306.798	0	sound	ii	2	18	3	0	1.04
310.797	0	feedback	ii	2	18	n/a	n/a	n/a
314.297	0	sound	ii	1	10	1	1	1.381
318.23	0	feedback	ii	1	10	n/a	n/a	n/a
321.796	0	sound	ii	3	30	1	0	1.418
324.512	0	feedback	ii	3	30	n/a	n/a	n/a
331.795	0	sound	ii	2	15	3	0	1.755
335.245	0	feedback	ii	2	15	n/a	n/a	n/a
