onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.319	0	sound	ii	1	7	1	1	1.208
18.785	0	feedback	ii	1	7	n/a	n/a	n/a
21.819	0	sound	ii	2	19	2	1	1.004
26.068	0	feedback	ii	2	19	n/a	n/a	n/a
29.318	0	sound	ii	3	27	1	0	1.113
32.967	0	feedback	ii	3	27	n/a	n/a	n/a
36.817	0	sound	ii	4	35	4	1	0.998
40.483	0	feedback	ii	4	35	n/a	n/a	n/a
44.316	0	sound	ii	4	40	3	0	1.123
48.699	0	feedback	ii	4	40	n/a	n/a	n/a
51.816	0	sound	ii	2	18	2	1	0.998
55.899	0	feedback	ii	2	18	n/a	n/a	n/a
59.315	0	sound	ii	3	22	4	0	1.091
62.665	0	feedback	ii	3	22	n/a	n/a	n/a
66.814	0	sound	ii	3	24	4	0	0.976
69.614	0	feedback	ii	3	24	n/a	n/a	n/a
74.314	0	sound	ii	2	17	1	0	1.372
78.296	0	feedback	ii	2	17	n/a	n/a	n/a
84.313	0	sound	ii	4	36	3	0	1.836
86.879	0	feedback	ii	4	36	n/a	n/a	n/a
91.812	0	sound	ii	3	21	3	1	1.657
96.128	0	feedback	ii	3	21	n/a	n/a	n/a
99.295	0	sound	ii	3	30	1	0	1.414
103.194	0	feedback	ii	3	30	n/a	n/a	n/a
109.31	0	sound	ii	3	26	4	0	1.535
112.31	0	feedback	ii	3	26	n/a	n/a	n/a
116.81	0	sound	ii	2	16	1	0	1.65
121.259	0	feedback	ii	2	16	n/a	n/a	n/a
124.309	0	sound	ii	2	11	2	1	1.007
128.292	0	feedback	ii	2	11	n/a	n/a	n/a
131.791	0	sound	ii	3	29	4	0	1.904
135.858	0	feedback	ii	3	29	n/a	n/a	n/a
139.307	0	sound	ii	3	23	3	1	1.001
142.79	0	feedback	ii	3	23	n/a	n/a	n/a
149.306	0	sound	ii	4	39	4	1	1.337
153.556	0	feedback	ii	4	39	n/a	n/a	n/a
156.806	0	sound	ii	4	33	4	1	1.229
160.155	0	feedback	ii	4	33	n/a	n/a	n/a
164.305	0	sound	ii	1	3	2	0	1.514
167.538	0	feedback	ii	1	3	n/a	n/a	n/a
171.804	0	sound	ii	1	6	2	0	0.967
175.787	0	feedback	ii	1	6	n/a	n/a	n/a
181.803	0	sound	ii	3	28	3	1	1.791
185.403	0	feedback	ii	3	28	n/a	n/a	n/a
191.786	0	sound	ii	1	10	1	1	1.256
195.402	0	feedback	ii	1	10	n/a	n/a	n/a
199.302	0	sound	ii	3	25	0	0	0
203.568	0	feedback	ii	3	25	n/a	n/a	n/a
206.801	0	sound	ii	4	37	4	1	1.273
211.217	0	feedback	ii	4	37	n/a	n/a	n/a
214.3	0	sound	ii	1	1	4	0	1.542
217.15	0	feedback	ii	1	1	n/a	n/a	n/a
221.8	0	sound	ii	2	20	2	1	1.425
225.483	0	feedback	ii	2	20	n/a	n/a	n/a
231.815	0	sound	ii	4	31	4	1	1.77
235.782	0	feedback	ii	4	31	n/a	n/a	n/a
239.298	0	sound	ii	2	12	2	1	1.343
243.697	0	feedback	ii	2	12	n/a	n/a	n/a
249.297	0	sound	ii	1	8	2	0	1.751
253.313	0	feedback	ii	1	8	n/a	n/a	n/a
256.796	0	sound	ii	2	14	1	0	1.34
260.862	0	feedback	ii	2	14	n/a	n/a	n/a
264.296	0	sound	ii	4	38	3	0	1.632
268.062	0	feedback	ii	4	38	n/a	n/a	n/a
274.295	0	sound	ii	2	13	2	1	1.009
278.311	0	feedback	ii	2	13	n/a	n/a	n/a
281.844	0	sound	ii	1	2	2	0	1.556
285.41	0	feedback	ii	1	2	n/a	n/a	n/a
289.31	0	sound	ii	4	34	4	1	1.785
292.276	0	feedback	ii	4	34	n/a	n/a	n/a
296.792	0	sound	ii	1	9	4	0	1.351
301.159	0	feedback	ii	1	9	n/a	n/a	n/a
304.292	0	sound	ii	1	4	1	1	1.347
307.458	0	feedback	ii	1	4	n/a	n/a	n/a
311.791	0	sound	ii	1	5	1	1	0.96
314.324	0	feedback	ii	1	5	n/a	n/a	n/a
321.807	0	sound	ii	2	15	2	1	0.991
325.456	0	feedback	ii	2	15	n/a	n/a	n/a
329.289	0	sound	ii	4	32	4	1	1.589
333.006	0	feedback	ii	4	32	n/a	n/a	n/a
