onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.353	0	sound	rb	2	18	1	0	0.959
17.286	0	feedback	rb	2	18	n/a	n/a	n/a
21.803	0	sound	rb	1	2	1	1	1.708
25.836	0	feedback	rb	1	2	n/a	n/a	n/a
31.835	0	sound	rb	2	19	2	1	1.564
36.268	0	feedback	rb	2	19	n/a	n/a	n/a
39.301	0	sound	rb	4	31	3	0	1.29
42.467	0	feedback	rb	4	31	n/a	n/a	n/a
46.8	0	sound	rb	4	37	4	1	0.919
50.95	0	feedback	rb	4	37	n/a	n/a	n/a
56.816	0	sound	rb	4	36	3	0	1.399
59.749	0	feedback	rb	4	36	n/a	n/a	n/a
64.299	0	sound	rb	1	5	1	1	1.387
68.665	0	feedback	rb	1	5	n/a	n/a	n/a
71.815	0	sound	rb	1	10	3	0	1.831
75.348	0	feedback	rb	1	10	n/a	n/a	n/a
79.314	0	sound	rb	1	3	1	1	1.164
82.164	0	feedback	rb	1	3	n/a	n/a	n/a
86.797	0	sound	rb	3	27	1	0	1.361
89.863	0	feedback	rb	3	27	n/a	n/a	n/a
94.296	0	sound	rb	2	15	3	0	1.366
98.029	0	feedback	rb	2	15	n/a	n/a	n/a
101.845	0	sound	rb	2	17	2	1	1.889
104.612	0	feedback	rb	2	17	n/a	n/a	n/a
109.295	0	sound	rb	4	40	1	0	1.87
112.878	0	feedback	rb	4	40	n/a	n/a	n/a
116.794	0	sound	rb	4	39	3	0	1.587
120.627	0	feedback	rb	4	39	n/a	n/a	n/a
124.293	0	sound	rb	3	21	0	0	0
127.726	0	feedback	rb	3	21	n/a	n/a	n/a
134.309	0	sound	rb	1	9	4	0	1.28
138.526	0	feedback	rb	1	9	n/a	n/a	n/a
141.825	0	sound	rb	3	22	1	0	0.98
145.775	0	feedback	rb	3	22	n/a	n/a	n/a
151.791	0	sound	rb	3	24	3	1	1.405
156.107	0	feedback	rb	3	24	n/a	n/a	n/a
159.324	0	sound	rb	3	28	1	0	1.68
162.923	0	feedback	rb	3	28	n/a	n/a	n/a
166.806	0	sound	rb	4	34	2	0	1.686
169.589	0	feedback	rb	4	34	n/a	n/a	n/a
174.306	0	sound	rb	3	23	4	0	1.914
178.489	0	feedback	rb	3	23	n/a	n/a	n/a
181.805	0	sound	rb	2	16	2	1	1.647
185.888	0	feedback	rb	2	16	n/a	n/a	n/a
189.321	0	sound	rb	4	32	2	0	1.338
193.604	0	feedback	rb	4	32	n/a	n/a	n/a
196.804	0	sound	rb	2	13	4	0	1.359
199.987	0	feedback	rb	2	13	n/a	n/a	n/a
204.303	0	sound	rb	4	35	2	0	1.612
208.236	0	feedback	rb	4	35	n/a	n/a	n/a
211.802	0	sound	rb	4	38	4	1	0.969
216.019	0	feedback	rb	4	38	n/a	n/a	n/a
221.801	0	sound	rb	1	4	2	0	1.346
224.701	0	feedback	rb	1	4	n/a	n/a	n/a
229.334	0	sound	rb	3	30	1	0	1.005
232.317	0	feedback	rb	3	30	n/a	n/a	n/a
236.8	0	sound	rb	1	1	3	0	0.954
241.15	0	feedback	rb	1	1	n/a	n/a	n/a
246.799	0	sound	rb	3	29	1	0	1.291
250.882	0	feedback	rb	3	29	n/a	n/a	n/a
254.299	0	sound	rb	2	20	3	0	1.311
257.582	0	feedback	rb	2	20	n/a	n/a	n/a
261.781	0	sound	rb	4	33	3	0	1.861
265.564	0	feedback	rb	4	33	n/a	n/a	n/a
269.297	0	sound	rb	1	8	4	0	1.001
272.93	0	feedback	rb	1	8	n/a	n/a	n/a
276.83	0	sound	rb	2	12	4	0	1.747
280.146	0	feedback	rb	2	12	n/a	n/a	n/a
286.796	0	sound	rb	3	26	2	0	1.429
290.362	0	feedback	rb	3	26	n/a	n/a	n/a
296.828	0	sound	rb	1	6	4	0	1.693
300.878	0	feedback	rb	1	6	n/a	n/a	n/a
304.311	0	sound	rb	3	25	1	0	0.89
308.344	0	feedback	rb	3	25	n/a	n/a	n/a
311.793	0	sound	rb	1	7	3	0	1.768
314.793	0	feedback	rb	1	7	n/a	n/a	n/a
321.809	0	sound	rb	2	11	4	0	1.631
325.042	0	feedback	rb	2	11	n/a	n/a	n/a
329.292	0	sound	rb	2	14	2	1	1.66
333.608	0	feedback	rb	2	14	n/a	n/a	n/a
