onset	duration	trial_type	structure	category	item	response	ACC	RT
14.309	0	sound	ii	4	34	4	1	1.026
17.292	0	feedback	ii	4	34	NaN	NaN	NaN
21.875	0	sound	ii	4	37	4	1	0.9
25.842	0	feedback	ii	4	37	NaN	NaN	NaN
29.325	0	sound	ii	3	26	3	1	1.202
33.791	0	feedback	ii	3	26	NaN	NaN	NaN
36.874	0	sound	ii	2	15	3	0	1.212
39.99	0	feedback	ii	2	15	NaN	NaN	NaN
44.323	0	sound	ii	1	8	2	0	0.867
48.456	0	feedback	ii	1	8	NaN	NaN	NaN
51.806	0	sound	ii	2	16	1	0	0.888
54.755	0	feedback	ii	2	16	NaN	NaN	NaN
59.305	0	sound	ii	1	10	2	0	1.245
63.671	0	feedback	ii	1	10	NaN	NaN	NaN
66.804	0	sound	ii	1	7	2	0	1.001
70.354	0	feedback	ii	1	7	NaN	NaN	NaN
76.87	0	sound	ii	3	22	4	0	1.303
79.653	0	feedback	ii	3	22	NaN	NaN	NaN
86.819	0	sound	ii	4	31	4	1	0.994
89.868	0	feedback	ii	4	31	NaN	NaN	NaN
94.334	0	sound	ii	2	18	3	0	0.959
98.034	0	feedback	ii	2	18	NaN	NaN	NaN
101.834	0	sound	ii	1	9	2	0	0.81
104.6	0	feedback	ii	1	9	NaN	NaN	NaN
109.3	0	sound	ii	3	25	3	1	1.232
112.883	0	feedback	ii	3	25	NaN	NaN	NaN
116.799	0	sound	ii	4	36	4	1	1.116
120.632	0	feedback	ii	4	36	NaN	NaN	NaN
124.315	0	sound	ii	1	2	2	0	1.616
127.748	0	feedback	ii	1	2	NaN	NaN	NaN
134.297	0	sound	ii	2	19	1	0	1.138
138.513	0	feedback	ii	2	19	NaN	NaN	NaN
144.329	0	sound	ii	4	39	0	0	0
148.279	0	feedback	ii	4	39	NaN	NaN	NaN
151.812	0	sound	ii	4	33	3	0	1.446
156.111	0	feedback	ii	4	33	NaN	NaN	NaN
161.827	0	sound	ii	4	40	4	1	0.847
165.427	0	feedback	ii	4	40	NaN	NaN	NaN
171.843	0	sound	ii	2	14	3	0	1.462
174.576	0	feedback	ii	2	14	NaN	NaN	NaN
179.326	0	sound	ii	2	12	0	0	0
183.509	0	feedback	ii	2	12	NaN	NaN	NaN
186.858	0	sound	ii	4	32	2	0	1.311
190.891	0	feedback	ii	4	32	NaN	NaN	NaN
196.824	0	sound	ii	3	21	0	0	0
201.107	0	feedback	ii	3	21	NaN	NaN	NaN
204.323	0	sound	ii	1	5	2	0	0.917
207.489	0	feedback	ii	1	5	NaN	NaN	NaN
211.806	0	sound	ii	1	4	1	1	0.898
215.739	0	feedback	ii	1	4	NaN	NaN	NaN
219.288	0	sound	ii	1	3	1	1	0.76
223.521	0	feedback	ii	1	3	NaN	NaN	NaN
226.821	0	sound	ii	3	27	3	1	1.45
229.704	0	feedback	ii	3	27	NaN	NaN	NaN
234.303	0	sound	ii	3	30	3	1	1.48
237.32	0	feedback	ii	3	30	NaN	NaN	NaN
241.819	0	sound	ii	2	17	0	0	0
246.152	0	feedback	ii	2	17	NaN	NaN	NaN
249.302	0	sound	ii	2	13	0	0	0
253.368	0	feedback	ii	2	13	NaN	NaN	NaN
256.801	0	sound	ii	1	1	3	0	1.101
260.084	0	feedback	ii	1	1	NaN	NaN	NaN
264.317	0	sound	ii	2	20	1	0	0.873
268.083	0	feedback	ii	2	20	NaN	NaN	NaN
271.783	0	sound	ii	2	11	2	1	1.239
275.416	0	feedback	ii	2	11	NaN	NaN	NaN
279.299	0	sound	ii	4	38	4	1	1.498
282.632	0	feedback	ii	4	38	NaN	NaN	NaN
289.298	0	sound	ii	3	29	4	0	0.875
292.864	0	feedback	ii	3	29	NaN	NaN	NaN
296.847	0	sound	ii	3	24	2	0	1.566
300.88	0	feedback	ii	3	24	NaN	NaN	NaN
306.812	0	sound	ii	3	28	3	1	1.2
310.845	0	feedback	ii	3	28	NaN	NaN	NaN
316.861	0	sound	ii	4	35	4	1	1.103
319.794	0	feedback	ii	4	35	NaN	NaN	NaN
324.311	0	sound	ii	3	23	3	1	1.421
327.544	0	feedback	ii	3	23	NaN	NaN	NaN
331.81	0	sound	ii	1	6	2	0	1.697
336.109	0	feedback	ii	1	6	NaN	NaN	NaN
