onset	duration	trial_type	structure	category	item	response	ACC	RT
14.347	0	sound	ii	1	6	2	0	1.917
18.797	0	feedback	ii	1	6	NaN	NaN	NaN
24.33	0	sound	ii	4	37	4	1	1.253
28.579	0	feedback	ii	4	37	NaN	NaN	NaN
31.812	0	sound	ii	4	32	3	0	1.259
35.462	0	feedback	ii	4	32	NaN	NaN	NaN
39.328	0	sound	ii	3	27	1	0	1.335
42.978	0	feedback	ii	3	27	NaN	NaN	NaN
49.31	0	sound	ii	4	31	4	1	1.224
53.71	0	feedback	ii	4	31	NaN	NaN	NaN
56.81	0	sound	ii	3	29	4	0	1.012
60.909	0	feedback	ii	3	29	NaN	NaN	NaN
64.309	0	sound	ii	3	21	1	0	1.561
67.675	0	feedback	ii	3	21	NaN	NaN	NaN
74.324	0	sound	ii	3	30	3	1	1.081
77.107	0	feedback	ii	3	30	NaN	NaN	NaN
81.807	0	sound	ii	2	18	2	1	1.694
85.79	0	feedback	ii	2	18	NaN	NaN	NaN
89.306	0	sound	ii	2	12	2	1	1.091
91.873	0	feedback	ii	2	12	NaN	NaN	NaN
96.855	0	sound	ii	1	10	2	0	1.149
101.122	0	feedback	ii	1	10	NaN	NaN	NaN
104.305	0	sound	ii	4	39	3	0	1.243
108.188	0	feedback	ii	4	39	NaN	NaN	NaN
111.804	0	sound	ii	3	24	4	0	1.728
114.82	0	feedback	ii	3	24	NaN	NaN	NaN
119.336	0	sound	ii	4	35	4	1	0.932
123.753	0	feedback	ii	4	35	NaN	NaN	NaN
126.802	0	sound	ii	4	38	4	1	0.825
130.785	0	feedback	ii	4	38	NaN	NaN	NaN
134.335	0	sound	ii	2	14	3	0	1.028
138.368	0	feedback	ii	2	14	NaN	NaN	NaN
144.3	0	sound	ii	2	11	2	1	1.079
147.783	0	feedback	ii	2	11	NaN	NaN	NaN
151.8	0	sound	ii	2	17	2	1	1.01
156.049	0	feedback	ii	2	17	NaN	NaN	NaN
159.349	0	sound	ii	1	2	0	0	0
162.665	0	feedback	ii	1	2	NaN	NaN	NaN
166.798	0	sound	ii	2	13	2	1	0.804
170.031	0	feedback	ii	2	13	NaN	NaN	NaN
176.814	0	sound	ii	2	16	2	1	1.076
180.797	0	feedback	ii	2	16	NaN	NaN	NaN
184.33	0	sound	ii	1	3	2	0	0.767
187.896	0	feedback	ii	1	3	NaN	NaN	NaN
191.829	0	sound	ii	4	36	4	1	1.388
195.412	0	feedback	ii	4	36	NaN	NaN	NaN
199.328	0	sound	ii	3	26	3	1	1.065
203.578	0	feedback	ii	3	26	NaN	NaN	NaN
206.794	0	sound	ii	3	22	4	0	0.854
211.227	0	feedback	ii	3	22	NaN	NaN	NaN
216.826	0	sound	ii	1	1	3	0	1.238
219.659	0	feedback	ii	1	1	NaN	NaN	NaN
224.292	0	sound	ii	1	9	1	1	0.668
227.992	0	feedback	ii	1	9	NaN	NaN	NaN
231.808	0	sound	ii	1	5	1	1	0.823
235.774	0	feedback	ii	1	5	NaN	NaN	NaN
239.291	0	sound	ii	3	25	1	0	1.012
243.69	0	feedback	ii	3	25	NaN	NaN	NaN
246.84	0	sound	ii	4	34	4	1	0.991
250.806	0	feedback	ii	4	34	NaN	NaN	NaN
256.805	0	sound	ii	1	4	3	0	1.121
260.872	0	feedback	ii	1	4	NaN	NaN	NaN
264.288	0	sound	ii	1	7	1	1	0.846
268.054	0	feedback	ii	1	7	NaN	NaN	NaN
274.304	0	sound	ii	4	40	4	1	1.198
278.303	0	feedback	ii	4	40	NaN	NaN	NaN
284.286	0	sound	ii	3	28	0	0	0
287.902	0	feedback	ii	3	28	NaN	NaN	NaN
291.852	0	sound	ii	4	33	0	0	0
294.785	0	feedback	ii	4	33	NaN	NaN	NaN
299.318	0	sound	ii	2	19	2	1	1.487
303.667	0	feedback	ii	2	19	NaN	NaN	NaN
306.834	0	sound	ii	1	8	2	0	1.051
309.95	0	feedback	ii	1	8	NaN	NaN	NaN
316.799	0	sound	ii	2	20	2	1	1.421
319.316	0	feedback	ii	2	20	NaN	NaN	NaN
324.298	0	sound	ii	3	23	3	1	1.258
327.948	0	feedback	ii	3	23	NaN	NaN	NaN
331.831	0	sound	ii	2	15	3	0	0.909
335.514	0	feedback	ii	2	15	NaN	NaN	NaN
