onset	duration	trial_type	structure	category	item	response	ACC	RT
11.868	0	sound	ii	2	14	3	0	1.187
14.418	0	feedback	ii	2	14	NaN	NaN	NaN
19.317	0	sound	ii	4	33	3	0	1.114
23.55	0	feedback	ii	4	33	NaN	NaN	NaN
26.816	0	sound	ii	4	35	4	1	0.975
29.4	0	feedback	ii	4	35	NaN	NaN	NaN
34.316	0	sound	ii	4	37	4	1	0.97
38.599	0	feedback	ii	4	37	NaN	NaN	NaN
41.832	0	sound	ii	2	20	0	0	0
46.198	0	feedback	ii	2	20	NaN	NaN	NaN
51.814	0	sound	ii	2	13	3	0	0.992
55.88	0	feedback	ii	2	13	NaN	NaN	NaN
61.83	0	sound	ii	4	39	3	0	1.031
65.846	0	feedback	ii	4	39	NaN	NaN	NaN
71.812	0	sound	ii	4	31	4	1	0.769
75.561	0	feedback	ii	4	31	NaN	NaN	NaN
79.311	0	sound	ii	1	3	4	0	1.55
83.377	0	feedback	ii	1	3	NaN	NaN	NaN
86.844	0	sound	ii	2	18	1	0	0.848
90.543	0	feedback	ii	2	18	NaN	NaN	NaN
94.326	0	sound	ii	2	11	2	1	1.006
98.192	0	feedback	ii	2	11	NaN	NaN	NaN
101.825	0	sound	ii	2	16	2	1	0.795
105.075	0	feedback	ii	2	16	NaN	NaN	NaN
109.325	0	sound	ii	4	38	4	1	1.023
112.808	0	feedback	ii	4	38	NaN	NaN	NaN
116.841	0	sound	ii	3	28	3	1	1.346
120.19	0	feedback	ii	3	28	NaN	NaN	NaN
124.323	0	sound	ii	2	19	2	1	1.344
127.373	0	feedback	ii	2	19	NaN	NaN	NaN
134.355	0	sound	ii	4	36	4	1	1.008
137.305	0	feedback	ii	4	36	NaN	NaN	NaN
141.838	0	sound	ii	1	6	2	0	1.596
145.654	0	feedback	ii	1	6	NaN	NaN	NaN
149.32	0	sound	ii	1	1	3	0	1.322
153.22	0	feedback	ii	1	1	NaN	NaN	NaN
156.853	0	sound	ii	4	34	4	1	1.181
160.503	0	feedback	ii	4	34	NaN	NaN	NaN
164.302	0	sound	ii	4	32	0	0	0
168.535	0	feedback	ii	4	32	NaN	NaN	NaN
174.301	0	sound	ii	2	12	0	0	0
177.201	0	feedback	ii	2	12	NaN	NaN	NaN
181.8	0	sound	ii	3	25	4	0	1.193
186.117	0	feedback	ii	3	25	NaN	NaN	NaN
189.333	0	sound	ii	2	17	3	0	1.316
192.449	0	feedback	ii	2	17	NaN	NaN	NaN
196.799	0	sound	ii	3	22	4	0	0.929
201.132	0	feedback	ii	3	22	NaN	NaN	NaN
204.348	0	sound	ii	1	7	2	0	1.404
208.764	0	feedback	ii	1	7	NaN	NaN	NaN
211.797	0	sound	ii	3	30	3	1	1.179
214.814	0	feedback	ii	3	30	NaN	NaN	NaN
221.846	0	sound	ii	3	29	4	0	0.721
225.879	0	feedback	ii	3	29	NaN	NaN	NaN
229.296	0	sound	ii	3	27	4	0	0.719
233.178	0	feedback	ii	3	27	NaN	NaN	NaN
236.811	0	sound	ii	4	40	4	1	0.868
240.744	0	feedback	ii	4	40	NaN	NaN	NaN
246.794	0	sound	ii	2	15	0	0	0
251.227	0	feedback	ii	2	15	NaN	NaN	NaN
254.31	0	sound	ii	1	8	2	0	0.944
257.393	0	feedback	ii	1	8	NaN	NaN	NaN
261.792	0	sound	ii	3	26	0	0	0
265.575	0	feedback	ii	3	26	NaN	NaN	NaN
269.308	0	sound	ii	3	23	0	0	0
272.558	0	feedback	ii	3	23	NaN	NaN	NaN
276.841	0	sound	ii	1	5	3	0	1.268
280.29	0	feedback	ii	1	5	NaN	NaN	NaN
286.806	0	sound	ii	1	10	1	1	1.031
289.689	0	feedback	ii	1	10	NaN	NaN	NaN
294.305	0	sound	ii	1	2	1	1	0.812
298.088	0	feedback	ii	1	2	NaN	NaN	NaN
301.805	0	sound	ii	1	9	1	1	0.959
304.804	0	feedback	ii	1	9	NaN	NaN	NaN
311.837	0	sound	ii	3	24	3	1	1.239
315.437	0	feedback	ii	3	24	NaN	NaN	NaN
319.353	0	sound	ii	3	21	3	1	0.979
323.052	0	feedback	ii	3	21	NaN	NaN	NaN
329.302	0	sound	ii	1	4	3	0	0.917
333.485	0	feedback	ii	1	4	NaN	NaN	NaN
