subject	block	onset	duration	trial_type	structure	category	item	response	ACC	RT
sub-01	4	14.309	0	sound	ii	4	34	4	1	1.026
sub-01	4	17.292	0	feedback	ii	4	34	NaN	NaN	NaN
sub-01	4	21.875	0	sound	ii	4	37	4	1	0.9
sub-01	4	25.842	0	feedback	ii	4	37	NaN	NaN	NaN
sub-01	4	29.325	0	sound	ii	3	26	3	1	1.202
sub-01	4	33.791	0	feedback	ii	3	26	NaN	NaN	NaN
sub-01	4	36.874	0	sound	ii	2	15	3	0	1.212
sub-01	4	39.99	0	feedback	ii	2	15	NaN	NaN	NaN
sub-01	4	44.323	0	sound	ii	1	8	2	0	0.867
sub-01	4	48.456	0	feedback	ii	1	8	NaN	NaN	NaN
sub-01	4	51.806	0	sound	ii	2	16	1	0	0.888
sub-01	4	54.755	0	feedback	ii	2	16	NaN	NaN	NaN
sub-01	4	59.305	0	sound	ii	1	10	2	0	1.245
sub-01	4	63.671	0	feedback	ii	1	10	NaN	NaN	NaN
sub-01	4	66.804	0	sound	ii	1	7	2	0	1.001
sub-01	4	70.354	0	feedback	ii	1	7	NaN	NaN	NaN
sub-01	4	76.87	0	sound	ii	3	22	4	0	1.303
sub-01	4	79.653	0	feedback	ii	3	22	NaN	NaN	NaN
sub-01	4	86.819	0	sound	ii	4	31	4	1	0.994
sub-01	4	89.868	0	feedback	ii	4	31	NaN	NaN	NaN
sub-01	4	94.334	0	sound	ii	2	18	3	0	0.959
sub-01	4	98.034	0	feedback	ii	2	18	NaN	NaN	NaN
sub-01	4	101.834	0	sound	ii	1	9	2	0	0.81
sub-01	4	104.6	0	feedback	ii	1	9	NaN	NaN	NaN
sub-01	4	109.3	0	sound	ii	3	25	3	1	1.232
sub-01	4	112.883	0	feedback	ii	3	25	NaN	NaN	NaN
sub-01	4	116.799	0	sound	ii	4	36	4	1	1.116
sub-01	4	120.632	0	feedback	ii	4	36	NaN	NaN	NaN
sub-01	4	124.315	0	sound	ii	1	2	2	0	1.616
sub-01	4	127.748	0	feedback	ii	1	2	NaN	NaN	NaN
sub-01	4	134.297	0	sound	ii	2	19	1	0	1.138
sub-01	4	138.513	0	feedback	ii	2	19	NaN	NaN	NaN
sub-01	4	144.329	0	sound	ii	4	39	0	0	0
sub-01	4	148.279	0	feedback	ii	4	39	NaN	NaN	NaN
sub-01	4	151.812	0	sound	ii	4	33	3	0	1.446
sub-01	4	156.111	0	feedback	ii	4	33	NaN	NaN	NaN
sub-01	4	161.827	0	sound	ii	4	40	4	1	0.847
sub-01	4	165.427	0	feedback	ii	4	40	NaN	NaN	NaN
sub-01	4	171.843	0	sound	ii	2	14	3	0	1.462
sub-01	4	174.576	0	feedback	ii	2	14	NaN	NaN	NaN
sub-01	4	179.326	0	sound	ii	2	12	0	0	0
sub-01	4	183.509	0	feedback	ii	2	12	NaN	NaN	NaN
sub-01	4	186.858	0	sound	ii	4	32	2	0	1.311
sub-01	4	190.891	0	feedback	ii	4	32	NaN	NaN	NaN
sub-01	4	196.824	0	sound	ii	3	21	0	0	0
sub-01	4	201.107	0	feedback	ii	3	21	NaN	NaN	NaN
sub-01	4	204.323	0	sound	ii	1	5	2	0	0.917
sub-01	4	207.489	0	feedback	ii	1	5	NaN	NaN	NaN
sub-01	4	211.806	0	sound	ii	1	4	1	1	0.898
sub-01	4	215.739	0	feedback	ii	1	4	NaN	NaN	NaN
sub-01	4	219.288	0	sound	ii	1	3	1	1	0.76
sub-01	4	223.521	0	feedback	ii	1	3	NaN	NaN	NaN
sub-01	4	226.821	0	sound	ii	3	27	3	1	1.45
sub-01	4	229.704	0	feedback	ii	3	27	NaN	NaN	NaN
sub-01	4	234.303	0	sound	ii	3	30	3	1	1.48
sub-01	4	237.32	0	feedback	ii	3	30	NaN	NaN	NaN
sub-01	4	241.819	0	sound	ii	2	17	0	0	0
sub-01	4	246.152	0	feedback	ii	2	17	NaN	NaN	NaN
sub-01	4	249.302	0	sound	ii	2	13	0	0	0
sub-01	4	253.368	0	feedback	ii	2	13	NaN	NaN	NaN
sub-01	4	256.801	0	sound	ii	1	1	3	0	1.101
sub-01	4	260.084	0	feedback	ii	1	1	NaN	NaN	NaN
sub-01	4	264.317	0	sound	ii	2	20	1	0	0.873
sub-01	4	268.083	0	feedback	ii	2	20	NaN	NaN	NaN
sub-01	4	271.783	0	sound	ii	2	11	2	1	1.239
sub-01	4	275.416	0	feedback	ii	2	11	NaN	NaN	NaN
sub-01	4	279.299	0	sound	ii	4	38	4	1	1.498
sub-01	4	282.632	0	feedback	ii	4	38	NaN	NaN	NaN
sub-01	4	289.298	0	sound	ii	3	29	4	0	0.875
sub-01	4	292.864	0	feedback	ii	3	29	NaN	NaN	NaN
sub-01	4	296.847	0	sound	ii	3	24	2	0	1.566
sub-01	4	300.88	0	feedback	ii	3	24	NaN	NaN	NaN
sub-01	4	306.812	0	sound	ii	3	28	3	1	1.2
sub-01	4	310.845	0	feedback	ii	3	28	NaN	NaN	NaN
sub-01	4	316.861	0	sound	ii	4	35	4	1	1.103
sub-01	4	319.794	0	feedback	ii	4	35	NaN	NaN	NaN
sub-01	4	324.311	0	sound	ii	3	23	3	1	1.421
sub-01	4	327.544	0	feedback	ii	3	23	NaN	NaN	NaN
sub-01	4	331.81	0	sound	ii	1	6	2	0	1.697
sub-01	4	336.109	0	feedback	ii	1	6	NaN	NaN	NaN
