onset	duration	trial_type	structure	category	item	response	ACC	RT
14.342	0	sound	ii	1	5	2	0	1.473
17.608	0	feedback	ii	1	5	NaN	NaN	NaN
21.858	0	sound	ii	4	36	4	1	1.421
25.941	0	feedback	ii	4	36	NaN	NaN	NaN
29.374	0	sound	ii	3	23	1	0	1.225
32.057	0	feedback	ii	3	23	NaN	NaN	NaN
36.806	0	sound	ii	4	38	4	1	0.913
41.073	0	feedback	ii	4	38	NaN	NaN	NaN
44.356	0	sound	ii	4	35	4	1	0.97
46.955	0	feedback	ii	4	35	NaN	NaN	NaN
51.838	0	sound	ii	4	32	4	1	1.28
54.421	0	feedback	ii	4	32	NaN	NaN	NaN
59.337	0	sound	ii	3	28	0	0	0
63.57	0	feedback	ii	3	28	NaN	NaN	NaN
69.32	0	sound	ii	3	25	3	1	1.285
72.186	0	feedback	ii	3	25	NaN	NaN	NaN
76.802	0	sound	ii	1	7	1	1	1.323
79.752	0	feedback	ii	1	7	NaN	NaN	NaN
84.335	0	sound	ii	1	2	1	1	0.846
88.434	0	feedback	ii	1	2	NaN	NaN	NaN
94.301	0	sound	ii	2	18	1	0	0.639
97.567	0	feedback	ii	2	18	NaN	NaN	NaN
101.866	0	sound	ii	1	8	2	0	0.882
106.049	0	feedback	ii	1	8	NaN	NaN	NaN
109.299	0	sound	ii	4	40	4	1	1.569
113.249	0	feedback	ii	4	40	NaN	NaN	NaN
116.798	0	sound	ii	4	37	4	1	0.821
119.381	0	feedback	ii	4	37	NaN	NaN	NaN
126.797	0	sound	ii	1	1	2	0	1.79
130.013	0	feedback	ii	1	1	NaN	NaN	NaN
136.796	0	sound	ii	1	9	1	1	1.127
141.212	0	feedback	ii	1	9	NaN	NaN	NaN
144.312	0	sound	ii	1	6	1	1	0.675
148.445	0	feedback	ii	1	6	NaN	NaN	NaN
151.828	0	sound	ii	3	30	3	1	1.758
154.361	0	feedback	ii	3	30	NaN	NaN	NaN
159.294	0	sound	ii	2	13	1	0	1.132
162.727	0	feedback	ii	2	13	NaN	NaN	NaN
166.81	0	sound	ii	1	4	2	0	1.144
170.826	0	feedback	ii	1	4	NaN	NaN	NaN
174.309	0	sound	ii	3	22	4	0	1.204
176.859	0	feedback	ii	3	22	NaN	NaN	NaN
181.875	0	sound	ii	2	20	1	0	1.71
185.708	0	feedback	ii	2	20	NaN	NaN	NaN
189.307	0	sound	ii	2	17	0	0	0
193.674	0	feedback	ii	2	17	NaN	NaN	NaN
199.29	0	sound	ii	2	16	3	0	1.038
203.673	0	feedback	ii	2	16	NaN	NaN	NaN
206.789	0	sound	ii	3	24	4	0	0.955
210.688	0	feedback	ii	3	24	NaN	NaN	NaN
214.355	0	sound	ii	4	33	4	1	0.869
218.088	0	feedback	ii	4	33	NaN	NaN	NaN
221.804	0	sound	ii	4	39	0	0	0
225.537	0	feedback	ii	4	39	NaN	NaN	NaN
231.803	0	sound	ii	2	19	3	0	1.02
235.553	0	feedback	ii	2	19	NaN	NaN	NaN
241.819	0	sound	ii	2	11	2	1	0.956
245.018	0	feedback	ii	2	11	NaN	NaN	NaN
249.301	0	sound	ii	2	12	2	1	1.065
253.384	0	feedback	ii	2	12	NaN	NaN	NaN
259.317	0	sound	ii	3	29	4	0	1.129
262.783	0	feedback	ii	3	29	NaN	NaN	NaN
266.833	0	sound	ii	4	31	4	1	1.005
270.216	0	feedback	ii	4	31	NaN	NaN	NaN
274.315	0	sound	ii	3	27	0	0	0
277.732	0	feedback	ii	3	27	NaN	NaN	NaN
281.814	0	sound	ii	2	14	0	0	0
285.981	0	feedback	ii	2	14	NaN	NaN	NaN
289.28	0	sound	ii	1	3	3	0	0.885
291.913	0	feedback	ii	1	3	NaN	NaN	NaN
299.313	0	sound	ii	4	34	4	1	1.124
303.312	0	feedback	ii	4	34	NaN	NaN	NaN
306.795	0	sound	ii	3	21	1	0	1.257
310.161	0	feedback	ii	3	21	NaN	NaN	NaN
314.311	0	sound	ii	2	15	1	0	1.245
317.844	0	feedback	ii	2	15	NaN	NaN	NaN
321.81	0	sound	ii	1	10	2	0	1.418
325.177	0	feedback	ii	1	10	NaN	NaN	NaN
331.793	0	sound	ii	3	26	0	0	0
335.209	0	feedback	ii	3	26	NaN	NaN	NaN
