"onset"	"duration"	"trial_type"	"structure"	"category"	"item"	"stim.RESP"	"stim.ACC"	"stim.RT"
14.342	0	"sound"	"ii"	1	8	"3"	"0"	"1.314"
18.408	0	"feedback"	"ii"	1	8	"n/a"	"n/a"	"n/a"
21.808	0	"sound"	"ii"	3	28	"3"	"1"	"1.191"
25.324	0	"feedback"	"ii"	3	28	"n/a"	"n/a"	"n/a"
29.34	0	"sound"	"ii"	1	5	"3"	"0"	"1.275"
33.74	0	"feedback"	"ii"	1	5	"n/a"	"n/a"	"n/a"
36.856	0	"sound"	"ii"	4	40	"4"	"1"	"0.919"
39.656	0	"feedback"	"ii"	4	40	"n/a"	"n/a"	"n/a"
46.855	0	"sound"	"ii"	1	2	"3"	"0"	"1.079"
51.271	0	"feedback"	"ii"	1	2	"n/a"	"n/a"	"n/a"
54.304	0	"sound"	"ii"	2	19	"1"	"0"	"0.91"
57.071	0	"feedback"	"ii"	2	19	"n/a"	"n/a"	"n/a"
61.804	0	"sound"	"ii"	4	35	"4"	"1"	"1.234"
64.337	0	"feedback"	"ii"	4	35	"n/a"	"n/a"	"n/a"
69.303	0	"sound"	"ii"	3	25	"3"	"1"	"1.31"
73.452	0	"feedback"	"ii"	3	25	"n/a"	"n/a"	"n/a"
79.335	0	"sound"	"ii"	4	37	"4"	"1"	"0.726"
81.918	0	"feedback"	"ii"	4	37	"n/a"	"n/a"	"n/a"
86.801	0	"sound"	"ii"	2	14	"2"	"1"	"0.82"
90.834	0	"feedback"	"ii"	2	14	"n/a"	"n/a"	"n/a"
94.3	0	"sound"	"ii"	3	26	"1"	"0"	"0.985"
97.883	0	"feedback"	"ii"	3	26	"n/a"	"n/a"	"n/a"
104.349	0	"sound"	"ii"	2	20	"3"	"0"	"0.759"
108.082	0	"feedback"	"ii"	2	20	"n/a"	"n/a"	"n/a"
111.798	0	"sound"	"ii"	3	22	"3"	"1"	"1.302"
115.965	0	"feedback"	"ii"	3	22	"n/a"	"n/a"	"n/a"
119.298	0	"sound"	"ii"	2	13	"2"	"1"	"1.05"
122.614	0	"feedback"	"ii"	2	13	"n/a"	"n/a"	"n/a"
129.297	0	"sound"	"ii"	4	33	"4"	"1"	"0.898"
133.38	0	"feedback"	"ii"	4	33	"n/a"	"n/a"	"n/a"
136.796	0	"sound"	"ii"	3	24	"2"	"0"	"1.175"
140.329	0	"feedback"	"ii"	3	24	"n/a"	"n/a"	"n/a"
144.295	0	"sound"	"ii"	3	23	"3"	"1"	"0.924"
148.461	0	"feedback"	"ii"	3	23	"n/a"	"n/a"	"n/a"
151.794	0	"sound"	"ii"	1	3	"3"	"0"	"0.816"
156.161	0	"feedback"	"ii"	1	3	"n/a"	"n/a"	"n/a"
159.327	0	"sound"	"ii"	3	27	"2"	"0"	"1.091"
163.093	0	"feedback"	"ii"	3	27	"n/a"	"n/a"	"n/a"
166.809	0	"sound"	"ii"	1	10	"3"	"0"	"1.465"
170.509	0	"feedback"	"ii"	1	10	"n/a"	"n/a"	"n/a"
174.292	0	"sound"	"ii"	3	30	"3"	"1"	"1.237"
177.758	0	"feedback"	"ii"	3	30	"n/a"	"n/a"	"n/a"
184.324	0	"sound"	"ii"	3	29	"4"	"0"	"1.029"
188.241	0	"feedback"	"ii"	3	29	"n/a"	"n/a"	"n/a"
191.79	0	"sound"	"ii"	2	17	"2"	"1"	"1.115"
194.823	0	"feedback"	"ii"	2	17	"n/a"	"n/a"	"n/a"
199.323	0	"sound"	"ii"	2	11	"2"	"1"	"1.022"
203.006	0	"feedback"	"ii"	2	11	"n/a"	"n/a"	"n/a"
206.805	0	"sound"	"ii"	1	7	"2"	"0"	"0.843"
210.038	0	"feedback"	"ii"	1	7	"n/a"	"n/a"	"n/a"
216.804	0	"sound"	"ii"	4	39	"3"	"0"	"1.3"
219.871	0	"feedback"	"ii"	4	39	"n/a"	"n/a"	"n/a"
224.303	0	"sound"	"ii"	4	32	"3"	"0"	"1.097"
228.42	0	"feedback"	"ii"	4	32	"n/a"	"n/a"	"n/a"
231.803	0	"sound"	"ii"	1	1	"3"	"0"	"1.26"
235.119	0	"feedback"	"ii"	1	1	"n/a"	"n/a"	"n/a"
239.319	0	"sound"	"ii"	4	34	"4"	"1"	"0.816"
243.168	0	"feedback"	"ii"	4	34	"n/a"	"n/a"	"n/a"
246.801	0	"sound"	"ii"	2	16	"1"	"0"	"1.334"
250.034	0	"feedback"	"ii"	2	16	"n/a"	"n/a"	"n/a"
254.284	0	"sound"	"ii"	2	18	"2"	"1"	"1.554"
257.883	0	"feedback"	"ii"	2	18	"n/a"	"n/a"	"n/a"
261.783	0	"sound"	"ii"	4	38	"3"	"0"	"1.095"
266.249	0	"feedback"	"ii"	4	38	"n/a"	"n/a"	"n/a"
269.299	0	"sound"	"ii"	2	12	"2"	"1"	"1.731"
272.882	0	"feedback"	"ii"	2	12	"n/a"	"n/a"	"n/a"
279.314	0	"sound"	"ii"	1	4	"3"	"0"	"1.547"
283.414	0	"feedback"	"ii"	1	4	"n/a"	"n/a"	"n/a"
286.797	0	"sound"	"ii"	1	6	"0"	"0"	"0"
290.963	0	"feedback"	"ii"	1	6	"n/a"	"n/a"	"n/a"
296.829	0	"sound"	"ii"	3	21	"3"	"1"	"1.152"
300.712	0	"feedback"	"ii"	3	21	"n/a"	"n/a"	"n/a"
304.312	0	"sound"	"ii"	1	9	"3"	"0"	"0.981"
308.695	0	"feedback"	"ii"	1	9	"n/a"	"n/a"	"n/a"
314.277	0	"sound"	"ii"	4	36	"4"	"1"	"0.935"
317.794	0	"feedback"	"ii"	4	36	"n/a"	"n/a"	"n/a"
321.777	0	"sound"	"ii"	2	15	"1"	"0"	"1.219"
325.993	0	"feedback"	"ii"	2	15	"n/a"	"n/a"	"n/a"
331.809	0	"sound"	"ii"	4	31	"4"	"1"	"0.827"
335.759	0	"feedback"	"ii"	4	31	"n/a"	"n/a"	"n/a"
