subject	block	onset	duration	trial_type	structure	category	item	response	ACC	RT
sub-01	2	14.342	0	sound	ii	1	8	3	0	1.314
sub-01	2	18.408	0	feedback	ii	1	8	NaN	NaN	NaN
sub-01	2	21.808	0	sound	ii	3	28	3	1	1.191
sub-01	2	25.324	0	feedback	ii	3	28	NaN	NaN	NaN
sub-01	2	29.34	0	sound	ii	1	5	3	0	1.275
sub-01	2	33.74	0	feedback	ii	1	5	NaN	NaN	NaN
sub-01	2	36.856	0	sound	ii	4	40	4	1	0.919
sub-01	2	39.656	0	feedback	ii	4	40	NaN	NaN	NaN
sub-01	2	46.855	0	sound	ii	1	2	3	0	1.079
sub-01	2	51.271	0	feedback	ii	1	2	NaN	NaN	NaN
sub-01	2	54.304	0	sound	ii	2	19	1	0	0.91
sub-01	2	57.071	0	feedback	ii	2	19	NaN	NaN	NaN
sub-01	2	61.804	0	sound	ii	4	35	4	1	1.234
sub-01	2	64.337	0	feedback	ii	4	35	NaN	NaN	NaN
sub-01	2	69.303	0	sound	ii	3	25	3	1	1.31
sub-01	2	73.452	0	feedback	ii	3	25	NaN	NaN	NaN
sub-01	2	79.335	0	sound	ii	4	37	4	1	0.726
sub-01	2	81.918	0	feedback	ii	4	37	NaN	NaN	NaN
sub-01	2	86.801	0	sound	ii	2	14	2	1	0.82
sub-01	2	90.834	0	feedback	ii	2	14	NaN	NaN	NaN
sub-01	2	94.3	0	sound	ii	3	26	1	0	0.985
sub-01	2	97.883	0	feedback	ii	3	26	NaN	NaN	NaN
sub-01	2	104.349	0	sound	ii	2	20	3	0	0.759
sub-01	2	108.082	0	feedback	ii	2	20	NaN	NaN	NaN
sub-01	2	111.798	0	sound	ii	3	22	3	1	1.302
sub-01	2	115.965	0	feedback	ii	3	22	NaN	NaN	NaN
sub-01	2	119.298	0	sound	ii	2	13	2	1	1.05
sub-01	2	122.614	0	feedback	ii	2	13	NaN	NaN	NaN
sub-01	2	129.297	0	sound	ii	4	33	4	1	0.898
sub-01	2	133.38	0	feedback	ii	4	33	NaN	NaN	NaN
sub-01	2	136.796	0	sound	ii	3	24	2	0	1.175
sub-01	2	140.329	0	feedback	ii	3	24	NaN	NaN	NaN
sub-01	2	144.295	0	sound	ii	3	23	3	1	0.924
sub-01	2	148.461	0	feedback	ii	3	23	NaN	NaN	NaN
sub-01	2	151.794	0	sound	ii	1	3	3	0	0.816
sub-01	2	156.161	0	feedback	ii	1	3	NaN	NaN	NaN
sub-01	2	159.327	0	sound	ii	3	27	2	0	1.091
sub-01	2	163.093	0	feedback	ii	3	27	NaN	NaN	NaN
sub-01	2	166.809	0	sound	ii	1	10	3	0	1.465
sub-01	2	170.509	0	feedback	ii	1	10	NaN	NaN	NaN
sub-01	2	174.292	0	sound	ii	3	30	3	1	1.237
sub-01	2	177.758	0	feedback	ii	3	30	NaN	NaN	NaN
sub-01	2	184.324	0	sound	ii	3	29	4	0	1.029
sub-01	2	188.241	0	feedback	ii	3	29	NaN	NaN	NaN
sub-01	2	191.79	0	sound	ii	2	17	2	1	1.115
sub-01	2	194.823	0	feedback	ii	2	17	NaN	NaN	NaN
sub-01	2	199.323	0	sound	ii	2	11	2	1	1.022
sub-01	2	203.006	0	feedback	ii	2	11	NaN	NaN	NaN
sub-01	2	206.805	0	sound	ii	1	7	2	0	0.843
sub-01	2	210.038	0	feedback	ii	1	7	NaN	NaN	NaN
sub-01	2	216.804	0	sound	ii	4	39	3	0	1.3
sub-01	2	219.871	0	feedback	ii	4	39	NaN	NaN	NaN
sub-01	2	224.303	0	sound	ii	4	32	3	0	1.097
sub-01	2	228.42	0	feedback	ii	4	32	NaN	NaN	NaN
sub-01	2	231.803	0	sound	ii	1	1	3	0	1.26
sub-01	2	235.119	0	feedback	ii	1	1	NaN	NaN	NaN
sub-01	2	239.319	0	sound	ii	4	34	4	1	0.816
sub-01	2	243.168	0	feedback	ii	4	34	NaN	NaN	NaN
sub-01	2	246.801	0	sound	ii	2	16	1	0	1.334
sub-01	2	250.034	0	feedback	ii	2	16	NaN	NaN	NaN
sub-01	2	254.284	0	sound	ii	2	18	2	1	1.554
sub-01	2	257.883	0	feedback	ii	2	18	NaN	NaN	NaN
sub-01	2	261.783	0	sound	ii	4	38	3	0	1.095
sub-01	2	266.249	0	feedback	ii	4	38	NaN	NaN	NaN
sub-01	2	269.299	0	sound	ii	2	12	2	1	1.731
sub-01	2	272.882	0	feedback	ii	2	12	NaN	NaN	NaN
sub-01	2	279.314	0	sound	ii	1	4	3	0	1.547
sub-01	2	283.414	0	feedback	ii	1	4	NaN	NaN	NaN
sub-01	2	286.797	0	sound	ii	1	6	0	0	0
sub-01	2	290.963	0	feedback	ii	1	6	NaN	NaN	NaN
sub-01	2	296.829	0	sound	ii	3	21	3	1	1.152
sub-01	2	300.712	0	feedback	ii	3	21	NaN	NaN	NaN
sub-01	2	304.312	0	sound	ii	1	9	3	0	0.981
sub-01	2	308.695	0	feedback	ii	1	9	NaN	NaN	NaN
sub-01	2	314.277	0	sound	ii	4	36	4	1	0.935
sub-01	2	317.794	0	feedback	ii	4	36	NaN	NaN	NaN
sub-01	2	321.777	0	sound	ii	2	15	1	0	1.219
sub-01	2	325.993	0	feedback	ii	2	15	NaN	NaN	NaN
sub-01	2	331.809	0	sound	ii	4	31	4	1	0.827
sub-01	2	335.759	0	feedback	ii	4	31	NaN	NaN	NaN
