subject	block	onset	duration	trial_type	structure	category	item	response	ACC	RT
sub-01	1	14.361	0	sound	ii	2	18	1	0	0.926
sub-01	1	18.627	0	feedback	ii	2	18	NaN	NaN	NaN
sub-01	1	21.827	0	sound	ii	2	16	2	1	1.132
sub-01	1	25.526	0	feedback	ii	2	16	NaN	NaN	NaN
sub-01	1	29.326	0	sound	ii	3	26	3	1	1.017
sub-01	1	33.309	0	feedback	ii	3	26	NaN	NaN	NaN
sub-01	1	39.375	0	sound	ii	3	21	4	0	1.263
sub-01	1	42.041	0	feedback	ii	3	21	NaN	NaN	NaN
sub-01	1	49.357	0	sound	ii	2	17	3	0	1.073
sub-01	1	53.54	0	feedback	ii	2	17	NaN	NaN	NaN
sub-01	1	56.823	0	sound	ii	1	4	2	0	1.566
sub-01	1	60.056	0	feedback	ii	1	4	NaN	NaN	NaN
sub-01	1	64.339	0	sound	ii	3	22	3	1	1.642
sub-01	1	68.388	0	feedback	ii	3	22	NaN	NaN	NaN
sub-01	1	71.821	0	sound	ii	2	14	0	0	0
sub-01	1	75.421	0	feedback	ii	2	14	NaN	NaN	NaN
sub-01	1	79.321	0	sound	ii	2	12	0	0	0
sub-01	1	83.653	0	feedback	ii	2	12	NaN	NaN	NaN
sub-01	1	89.303	0	sound	ii	2	15	1	0	0.669
sub-01	1	91.969	0	feedback	ii	2	15	NaN	NaN	NaN
sub-01	1	96.802	0	sound	ii	2	13	3	0	0.754
sub-01	1	99.702	0	feedback	ii	2	13	NaN	NaN	NaN
sub-01	1	104.301	0	sound	ii	2	20	2	1	0.862
sub-01	1	107.184	0	feedback	ii	2	20	NaN	NaN	NaN
sub-01	1	111.817	0	sound	ii	1	10	2	0	1.002
sub-01	1	116.2	0	feedback	ii	1	10	NaN	NaN	NaN
sub-01	1	119.333	0	sound	ii	3	27	3	1	1.046
sub-01	1	123.516	0	feedback	ii	3	27	NaN	NaN	NaN
sub-01	1	126.832	0	sound	ii	3	28	3	1	1.115
sub-01	1	130.199	0	feedback	ii	3	28	NaN	NaN	NaN
sub-01	1	136.831	0	sound	ii	4	40	3	0	0.979
sub-01	1	139.631	0	feedback	ii	4	40	NaN	NaN	NaN
sub-01	1	144.314	0	sound	ii	3	23	4	0	1.04
sub-01	1	148.763	0	feedback	ii	3	23	NaN	NaN	NaN
sub-01	1	154.313	0	sound	ii	4	37	4	1	0.833
sub-01	1	158.146	0	feedback	ii	4	37	NaN	NaN	NaN
sub-01	1	161.829	0	sound	ii	4	31	4	1	0.9
sub-01	1	165.495	0	feedback	ii	4	31	NaN	NaN	NaN
sub-01	1	171.811	0	sound	ii	4	39	4	1	0.982
sub-01	1	175.794	0	feedback	ii	4	39	NaN	NaN	NaN
sub-01	1	179.36	0	sound	ii	1	8	4	0	0.857
sub-01	1	182.76	0	feedback	ii	1	8	NaN	NaN	NaN
sub-01	1	189.309	0	sound	ii	3	25	1	0	0.859
sub-01	1	192.342	0	feedback	ii	3	25	NaN	NaN	NaN
sub-01	1	196.825	0	sound	ii	4	33	4	1	0.839
sub-01	1	200.791	0	feedback	ii	4	33	NaN	NaN	NaN
sub-01	1	204.308	0	sound	ii	4	35	4	1	0.956
sub-01	1	207.457	0	feedback	ii	4	35	NaN	NaN	NaN
sub-01	1	214.323	0	sound	ii	2	19	1	0	1.948
sub-01	1	218.173	0	feedback	ii	2	19	NaN	NaN	NaN
sub-01	1	221.806	0	sound	ii	4	32	3	0	1.185
sub-01	1	225.555	0	feedback	ii	4	32	NaN	NaN	NaN
sub-01	1	229.322	0	sound	ii	1	3	1	1	1.205
sub-01	1	232.505	0	feedback	ii	1	3	NaN	NaN	NaN
sub-01	1	236.854	0	sound	ii	3	24	4	0	0.896
sub-01	1	240.554	0	feedback	ii	3	24	NaN	NaN	NaN
sub-01	1	244.304	0	sound	ii	1	2	3	0	1.11
sub-01	1	248.67	0	feedback	ii	1	2	NaN	NaN	NaN
sub-01	1	251.803	0	sound	ii	4	38	4	1	0.923
sub-01	1	256.286	0	feedback	ii	4	38	NaN	NaN	NaN
sub-01	1	259.302	0	sound	ii	1	9	1	1	0.696
sub-01	1	263.751	0	feedback	ii	1	9	NaN	NaN	NaN
sub-01	1	266.818	0	sound	ii	3	30	3	1	1.075
sub-01	1	270.734	0	feedback	ii	3	30	NaN	NaN	NaN
sub-01	1	274.3	0	sound	ii	2	11	3	0	0.945
sub-01	1	278.617	0	feedback	ii	2	11	NaN	NaN	NaN
sub-01	1	281.816	0	sound	ii	1	6	2	0	0.781
sub-01	1	284.366	0	feedback	ii	1	6	NaN	NaN	NaN
sub-01	1	289.299	0	sound	ii	1	5	1	1	0.969
sub-01	1	293.332	0	feedback	ii	1	5	NaN	NaN	NaN
sub-01	1	296.798	0	sound	ii	3	29	3	1	1.494
sub-01	1	301.164	0	feedback	ii	3	29	NaN	NaN	NaN
sub-01	1	306.814	0	sound	ii	1	1	3	0	1.19
sub-01	1	310.813	0	feedback	ii	1	1	NaN	NaN	NaN
sub-01	1	316.796	0	sound	ii	1	7	1	1	0.871
sub-01	1	320.729	0	feedback	ii	1	7	NaN	NaN	NaN
sub-01	1	324.295	0	sound	ii	4	34	4	1	1.156
sub-01	1	327.012	0	feedback	ii	4	34	NaN	NaN	NaN
sub-01	1	331.811	0	sound	ii	4	36	4	1	0.784
sub-01	1	335.261	0	feedback	ii	4	36	NaN	NaN	NaN
