onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.344	0	sound	ii	1	5	2	0	1.079
17.61	0	feedback	ii	1	5	n/a	n/a	n/a
24.31	0	sound	ii	4	35	4	1	1.025
28.443	0	feedback	ii	4	35	n/a	n/a	n/a
34.342	0	sound	ii	3	25	3	1	0.873
37.059	0	feedback	ii	3	25	n/a	n/a	n/a
41.791	0	sound	ii	1	4	2	0	1.04
46.058	0	feedback	ii	1	4	n/a	n/a	n/a
51.807	0	sound	ii	4	38	4	1	1.183
54.457	0	feedback	ii	4	38	n/a	n/a	n/a
61.823	0	sound	ii	3	22	3	1	0.983
64.423	0	feedback	ii	3	22	n/a	n/a	n/a
69.306	0	sound	ii	2	18	2	1	0.924
73.555	0	feedback	ii	2	18	n/a	n/a	n/a
76.805	0	sound	ii	2	13	1	0	0.929
79.688	0	feedback	ii	2	13	n/a	n/a	n/a
84.288	0	sound	ii	3	24	3	1	0.974
87.254	0	feedback	ii	3	24	n/a	n/a	n/a
91.82	0	sound	ii	4	36	4	1	1.01
95.937	0	feedback	ii	4	36	n/a	n/a	n/a
99.303	0	sound	ii	4	37	3	0	0.87
102.569	0	feedback	ii	4	37	n/a	n/a	n/a
106.802	0	sound	ii	1	1	1	1	1.099
111.052	0	feedback	ii	1	1	n/a	n/a	n/a
114.335	0	sound	ii	3	23	3	1	1.142
118.268	0	feedback	ii	3	23	n/a	n/a	n/a
124.301	0	sound	ii	4	33	3	0	1.632
126.884	0	feedback	ii	4	33	n/a	n/a	n/a
134.3	0	sound	ii	1	2	1	1	1.289
137.516	0	feedback	ii	1	2	n/a	n/a	n/a
141.799	0	sound	ii	1	10	2	0	1.277
146.215	0	feedback	ii	1	10	n/a	n/a	n/a
149.349	0	sound	ii	3	29	3	1	1.279
153.448	0	feedback	ii	3	29	n/a	n/a	n/a
156.815	0	sound	ii	1	7	2	0	1.005
159.364	0	feedback	ii	1	7	n/a	n/a	n/a
164.297	0	sound	ii	1	3	1	1	1.115
167.73	0	feedback	ii	1	3	n/a	n/a	n/a
171.83	0	sound	ii	2	14	2	1	1.31
175.829	0	feedback	ii	2	14	n/a	n/a	n/a
179.296	0	sound	ii	1	8	2	0	1.075
181.846	0	feedback	ii	1	8	n/a	n/a	n/a
186.812	0	sound	ii	2	12	2	1	1.039
190.712	0	feedback	ii	2	12	n/a	n/a	n/a
194.295	0	sound	ii	4	39	3	0	0.94
198.661	0	feedback	ii	4	39	n/a	n/a	n/a
204.327	0	sound	ii	4	34	4	1	1.364
208.677	0	feedback	ii	4	34	n/a	n/a	n/a
211.81	0	sound	ii	2	11	2	1	1.025
215.693	0	feedback	ii	2	11	n/a	n/a	n/a
221.809	0	sound	ii	4	40	3	0	1.785
225.592	0	feedback	ii	4	40	n/a	n/a	n/a
229.291	0	sound	ii	2	19	3	0	1.007
233.024	0	feedback	ii	2	19	n/a	n/a	n/a
236.824	0	sound	ii	3	21	3	1	0.962
240.557	0	feedback	ii	3	21	n/a	n/a	n/a
246.79	0	sound	ii	2	20	2	1	1.404
250.006	0	feedback	ii	2	20	n/a	n/a	n/a
254.306	0	sound	ii	3	28	3	1	1.96
258.389	0	feedback	ii	3	28	n/a	n/a	n/a
261.805	0	sound	ii	4	31	4	1	0.965
265.272	0	feedback	ii	4	31	n/a	n/a	n/a
269.305	0	sound	ii	3	26	3	1	1.144
272.704	0	feedback	ii	3	26	n/a	n/a	n/a
276.787	0	sound	ii	1	6	2	0	0.822
280.22	0	feedback	ii	1	6	n/a	n/a	n/a
284.303	0	sound	ii	3	30	3	1	1.13
288.486	0	feedback	ii	3	30	n/a	n/a	n/a
294.319	0	sound	ii	1	9	2	0	0.922
296.919	0	feedback	ii	1	9	n/a	n/a	n/a
301.785	0	sound	ii	4	32	3	0	1.032
305.818	0	feedback	ii	4	32	n/a	n/a	n/a
309.301	0	sound	ii	2	16	2	1	0.979
312.667	0	feedback	ii	2	16	n/a	n/a	n/a
316.817	0	sound	ii	3	27	3	1	1.039
320.333	0	feedback	ii	3	27	n/a	n/a	n/a
324.3	0	sound	ii	2	15	2	1	1.116
327.683	0	feedback	ii	2	15	n/a	n/a	n/a
331.799	0	sound	ii	2	17	1	0	1.585
335.215	0	feedback	ii	2	17	n/a	n/a	n/a
