onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.331	0	sound	ii	1	8	1	1	0.693
16.914	0	feedback	ii	1	8	n/a	n/a	n/a
21.83	0	sound	ii	1	7	2	0	0.809
26.046	0	feedback	ii	1	7	n/a	n/a	n/a
29.313	0	sound	ii	1	3	2	0	1.006
31.879	0	feedback	ii	1	3	n/a	n/a	n/a
36.828	0	sound	ii	4	36	2	0	0.987
41.095	0	feedback	ii	4	36	n/a	n/a	n/a
44.311	0	sound	ii	1	10	4	0	0.943
48.677	0	feedback	ii	1	10	n/a	n/a	n/a
51.81	0	sound	ii	2	13	4	0	0.972
55.876	0	feedback	ii	2	13	n/a	n/a	n/a
59.309	0	sound	ii	2	19	3	0	0.945
63.342	0	feedback	ii	2	19	n/a	n/a	n/a
66.809	0	sound	ii	3	23	1	0	1.133
70.558	0	feedback	ii	3	23	n/a	n/a	n/a
76.808	0	sound	ii	3	22	2	0	0.781
80.874	0	feedback	ii	3	22	n/a	n/a	n/a
84.34	0	sound	ii	4	35	3	0	0.897
88.04	0	feedback	ii	4	35	n/a	n/a	n/a
91.806	0	sound	ii	2	16	4	0	0.727
95.689	0	feedback	ii	2	16	n/a	n/a	n/a
99.305	0	sound	ii	2	20	1	0	0.995
102.572	0	feedback	ii	2	20	n/a	n/a	n/a
106.838	0	sound	ii	1	6	2	0	1.062
110.304	0	feedback	ii	1	6	n/a	n/a	n/a
116.803	0	sound	ii	3	21	3	1	0.969
120.186	0	feedback	ii	3	21	n/a	n/a	n/a
126.802	0	sound	ii	4	33	2	0	0.865
129.869	0	feedback	ii	4	33	n/a	n/a	n/a
134.318	0	sound	ii	1	5	2	0	0.805
137.301	0	feedback	ii	1	5	n/a	n/a	n/a
141.801	0	sound	ii	4	38	1	0	1.026
145.651	0	feedback	ii	4	38	n/a	n/a	n/a
149.3	0	sound	ii	4	39	4	1	0.79
153.216	0	feedback	ii	4	39	n/a	n/a	n/a
159.316	0	sound	ii	4	37	3	0	0.966
162.982	0	feedback	ii	4	37	n/a	n/a	n/a
166.798	0	sound	ii	1	9	4	0	0.628
171.031	0	feedback	ii	1	9	n/a	n/a	n/a
174.298	0	sound	ii	2	11	4	0	1.136
177.181	0	feedback	ii	2	11	n/a	n/a	n/a
184.313	0	sound	ii	3	29	1	0	0.608
188.613	0	feedback	ii	3	29	n/a	n/a	n/a
191.796	0	sound	ii	3	25	3	1	1.277
194.945	0	feedback	ii	3	25	n/a	n/a	n/a
199.328	0	sound	ii	2	12	4	0	0.897
203.628	0	feedback	ii	2	12	n/a	n/a	n/a
206.794	0	sound	ii	3	27	3	1	1.134
211.26	0	feedback	ii	3	27	n/a	n/a	n/a
214.293	0	sound	ii	4	34	3	0	1.235
217.31	0	feedback	ii	4	34	n/a	n/a	n/a
221.809	0	sound	ii	4	32	4	1	0.959
225.876	0	feedback	ii	4	32	n/a	n/a	n/a
231.808	0	sound	ii	3	28	3	1	1.103
235.675	0	feedback	ii	3	28	n/a	n/a	n/a
239.291	0	sound	ii	1	1	4	0	1.02
243.224	0	feedback	ii	1	1	n/a	n/a	n/a
246.79	0	sound	ii	3	26	1	0	1.073
251.223	0	feedback	ii	3	26	n/a	n/a	n/a
254.289	0	sound	ii	4	31	4	1	1.093
257.389	0	feedback	ii	4	31	n/a	n/a	n/a
261.822	0	sound	ii	1	4	3	0	1.032
265.555	0	feedback	ii	1	4	n/a	n/a	n/a
269.288	0	sound	ii	2	15	1	0	0.838
272.554	0	feedback	ii	2	15	n/a	n/a	n/a
276.787	0	sound	ii	3	30	4	0	0.843
280.287	0	feedback	ii	3	30	n/a	n/a	n/a
286.803	0	sound	ii	2	18	1	0	0.586
289.686	0	feedback	ii	2	18	n/a	n/a	n/a
296.802	0	sound	ii	2	14	4	0	1.059
300.585	0	feedback	ii	2	14	n/a	n/a	n/a
304.301	0	sound	ii	3	24	4	0	1.464
307.301	0	feedback	ii	3	24	n/a	n/a	n/a
311.783	0	sound	ii	2	17	0	0	0
315.433	0	feedback	ii	2	17	n/a	n/a	n/a
321.782	0	sound	ii	4	40	2	0	0.798
325.549	0	feedback	ii	4	40	n/a	n/a	n/a
331.781	0	sound	ii	1	2	3	0	0.791
335.981	0	feedback	ii	1	2	n/a	n/a	n/a
