onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.335	0	sound	ii	1	2	1	1	1.369
17.285	0	feedback	ii	1	2	n/a	n/a	n/a
21.801	0	sound	ii	4	32	3	0	1.566
25.834	0	feedback	ii	4	32	n/a	n/a	n/a
29.317	0	sound	ii	2	19	2	1	1.298
33.784	0	feedback	ii	2	19	n/a	n/a	n/a
36.833	0	sound	ii	2	14	3	0	1.07
39.983	0	feedback	ii	2	14	n/a	n/a	n/a
44.316	0	sound	ii	3	22	4	0	1.267
48.449	0	feedback	ii	3	22	n/a	n/a	n/a
51.815	0	sound	ii	4	36	4	1	1.096
54.765	0	feedback	ii	4	36	n/a	n/a	n/a
59.315	0	sound	ii	4	39	3	0	1.451
63.681	0	feedback	ii	4	39	n/a	n/a	n/a
66.814	0	sound	ii	3	30	3	1	1.448
70.347	0	feedback	ii	3	30	n/a	n/a	n/a
74.313	0	sound	ii	3	28	4	0	1.309
77.163	0	feedback	ii	3	28	n/a	n/a	n/a
84.312	0	sound	ii	1	3	4	0	1.526
87.362	0	feedback	ii	1	3	n/a	n/a	n/a
94.311	0	sound	ii	2	18	2	1	0.975
98.044	0	feedback	ii	2	18	n/a	n/a	n/a
101.827	0	sound	ii	4	33	4	1	1.426
104.611	0	feedback	ii	4	33	n/a	n/a	n/a
109.31	0	sound	ii	4	31	1	0	1.687
112.893	0	feedback	ii	4	31	n/a	n/a	n/a
119.309	0	sound	ii	4	34	3	0	1.08
123.125	0	feedback	ii	4	34	n/a	n/a	n/a
126.809	0	sound	ii	2	12	2	1	0.884
130.242	0	feedback	ii	2	12	n/a	n/a	n/a
136.841	0	sound	ii	3	23	4	0	1.483
141.024	0	feedback	ii	3	23	n/a	n/a	n/a
146.823	0	sound	ii	1	5	2	0	1.101
150.773	0	feedback	ii	1	5	n/a	n/a	n/a
154.323	0	sound	ii	4	40	4	1	1.257
158.622	0	feedback	ii	4	40	n/a	n/a	n/a
161.855	0	sound	ii	3	21	1	0	1.645
165.438	0	feedback	ii	3	21	n/a	n/a	n/a
169.355	0	sound	ii	3	29	4	0	1.633
172.104	0	feedback	ii	3	29	n/a	n/a	n/a
176.821	0	sound	ii	2	16	2	1	1.022
181.004	0	feedback	ii	2	16	n/a	n/a	n/a
184.303	0	sound	ii	1	7	1	1	1.14
188.386	0	feedback	ii	1	7	n/a	n/a	n/a
191.803	0	sound	ii	1	10	1	1	0.992
196.102	0	feedback	ii	1	10	n/a	n/a	n/a
199.302	0	sound	ii	1	9	1	1	1.245
202.485	0	feedback	ii	1	9	n/a	n/a	n/a
206.818	0	sound	ii	1	6	1	1	1.105
210.734	0	feedback	ii	1	6	n/a	n/a	n/a
214.334	0	sound	ii	1	8	2	0	1.268
218.517	0	feedback	ii	1	8	n/a	n/a	n/a
224.316	0	sound	ii	3	26	4	0	1.35
227.216	0	feedback	ii	3	26	n/a	n/a	n/a
234.299	0	sound	ii	2	17	2	1	1.631
237.315	0	feedback	ii	2	17	n/a	n/a	n/a
241.798	0	sound	ii	1	1	2	0	1.276
246.148	0	feedback	ii	1	1	n/a	n/a	n/a
251.83	0	sound	ii	2	11	2	1	1.075
255.88	0	feedback	ii	2	11	n/a	n/a	n/a
259.296	0	sound	ii	1	4	2	0	1.201
262.579	0	feedback	ii	1	4	n/a	n/a	n/a
269.295	0	sound	ii	3	27	3	1	1.146
273.078	0	feedback	ii	3	27	n/a	n/a	n/a
276.795	0	sound	ii	4	37	4	1	0.958
280.428	0	feedback	ii	4	37	n/a	n/a	n/a
284.344	0	sound	ii	4	38	3	0	1.577
287.644	0	feedback	ii	4	38	n/a	n/a	n/a
291.81	0	sound	ii	2	15	1	0	1.15
295.376	0	feedback	ii	2	15	n/a	n/a	n/a
299.309	0	sound	ii	3	25	2	0	1.283
303.376	0	feedback	ii	3	25	n/a	n/a	n/a
309.325	0	sound	ii	2	20	2	1	1.235
313.358	0	feedback	ii	2	20	n/a	n/a	n/a
316.808	0	sound	ii	4	35	4	1	1.4
319.791	0	feedback	ii	4	35	n/a	n/a	n/a
324.29	0	sound	ii	3	24	3	1	1.645
327.557	0	feedback	ii	3	24	n/a	n/a	n/a
331.806	0	sound	ii	2	13	1	0	1.441
336.106	0	feedback	ii	2	13	n/a	n/a	n/a
