onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.361	0	sound	rb	4	37	4	1	1.086
16.927	0	feedback	rb	4	37	n/a	n/a	n/a
21.843	0	sound	rb	2	11	4	0	0.94
26.043	0	feedback	rb	2	11	n/a	n/a	n/a
29.309	0	sound	rb	1	1	1	1	1.002
31.892	0	feedback	rb	1	1	n/a	n/a	n/a
36.809	0	sound	rb	3	28	1	0	0.974
41.075	0	feedback	rb	3	28	n/a	n/a	n/a
44.308	0	sound	rb	1	3	1	1	0.842
48.691	0	feedback	rb	1	3	n/a	n/a	n/a
51.807	0	sound	rb	2	13	4	0	1.591
55.873	0	feedback	rb	2	13	n/a	n/a	n/a
59.306	0	sound	rb	4	35	4	1	0.916
63.339	0	feedback	rb	4	35	n/a	n/a	n/a
66.806	0	sound	rb	4	32	2	0	1.56
70.555	0	feedback	rb	4	32	n/a	n/a	n/a
76.805	0	sound	rb	3	23	3	1	1.369
80.871	0	feedback	rb	3	23	n/a	n/a	n/a
86.82	0	sound	rb	4	40	4	1	0.993
90.537	0	feedback	rb	4	40	n/a	n/a	n/a
94.303	0	sound	rb	1	8	1	1	1.422
98.186	0	feedback	rb	1	8	n/a	n/a	n/a
104.302	0	sound	rb	2	16	0	0	0
107.568	0	feedback	rb	2	16	n/a	n/a	n/a
111.801	0	sound	rb	2	18	1	0	1.795
115.301	0	feedback	rb	2	18	n/a	n/a	n/a
119.317	0	sound	rb	3	22	4	0	1.159
122.684	0	feedback	rb	3	22	n/a	n/a	n/a
126.85	0	sound	rb	1	2	2	0	1.77
129.866	0	feedback	rb	1	2	n/a	n/a	n/a
134.316	0	sound	rb	1	4	3	0	1.464
137.299	0	feedback	rb	1	4	n/a	n/a	n/a
144.315	0	sound	rb	2	20	4	0	1.217
148.131	0	feedback	rb	2	20	n/a	n/a	n/a
151.814	0	sound	rb	3	25	3	1	1.357
155.714	0	feedback	rb	3	25	n/a	n/a	n/a
161.797	0	sound	rb	2	14	2	1	1.254
165.496	0	feedback	rb	2	14	n/a	n/a	n/a
169.296	0	sound	rb	3	29	0	0	0
173.529	0	feedback	rb	3	29	n/a	n/a	n/a
176.795	0	sound	rb	3	30	3	1	1.592
179.695	0	feedback	rb	3	30	n/a	n/a	n/a
184.378	0	sound	rb	3	26	3	1	1.856
188.611	0	feedback	rb	3	26	n/a	n/a	n/a
191.81	0	sound	rb	2	17	2	1	1.688
194.943	0	feedback	rb	2	17	n/a	n/a	n/a
199.343	0	sound	rb	4	33	4	1	0.939
203.626	0	feedback	rb	4	33	n/a	n/a	n/a
206.792	0	sound	rb	4	34	4	1	1.138
211.259	0	feedback	rb	4	34	n/a	n/a	n/a
214.325	0	sound	rb	3	27	1	0	1.524
217.325	0	feedback	rb	3	27	n/a	n/a	n/a
224.324	0	sound	rb	1	7	1	1	1.037
228.374	0	feedback	rb	1	7	n/a	n/a	n/a
231.823	0	sound	rb	1	10	3	0	1.682
235.673	0	feedback	rb	1	10	n/a	n/a	n/a
241.806	0	sound	rb	3	24	3	1	1.227
245.722	0	feedback	rb	3	24	n/a	n/a	n/a
249.305	0	sound	rb	1	9	2	0	1.543
253.721	0	feedback	rb	1	9	n/a	n/a	n/a
256.821	0	sound	rb	4	31	4	1	1.155
259.887	0	feedback	rb	4	31	n/a	n/a	n/a
264.287	0	sound	rb	4	39	4	1	1.489
268.053	0	feedback	rb	4	39	n/a	n/a	n/a
271.82	0	sound	rb	2	15	2	1	1.212
275.053	0	feedback	rb	2	15	n/a	n/a	n/a
279.319	0	sound	rb	2	12	2	1	1.137
282.785	0	feedback	rb	2	12	n/a	n/a	n/a
286.801	0	sound	rb	4	36	4	1	1.326
289.684	0	feedback	rb	4	36	n/a	n/a	n/a
296.817	0	sound	rb	1	6	3	0	1.63
300.583	0	feedback	rb	1	6	n/a	n/a	n/a
304.3	0	sound	rb	4	38	4	1	0.915
307.283	0	feedback	rb	4	38	n/a	n/a	n/a
314.332	0	sound	rb	3	21	3	1	1.067
317.932	0	feedback	rb	3	21	n/a	n/a	n/a
324.281	0	sound	rb	1	5	1	1	1.949
328.048	0	feedback	rb	1	5	n/a	n/a	n/a
331.797	0	sound	rb	2	19	1	0	1.169
335.98	0	feedback	rb	2	19	n/a	n/a	n/a
