onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.323	0	sound	rb	2	12	4	0	1.06
16.905	0	feedback	rb	2	12	n/a	n/a	n/a
21.822	0	sound	rb	4	38	2	0	0.801
26.038	0	feedback	rb	4	38	n/a	n/a	n/a
29.304	0	sound	rb	1	5	2	0	0.943
31.887	0	feedback	rb	1	5	n/a	n/a	n/a
39.303	0	sound	rb	4	39	3	0	0.943
43.57	0	feedback	rb	4	39	n/a	n/a	n/a
46.819	0	sound	rb	4	33	1	0	1.171
51.186	0	feedback	rb	4	33	n/a	n/a	n/a
54.302	0	sound	rb	3	25	4	0	1.192
58.368	0	feedback	rb	3	25	n/a	n/a	n/a
64.301	0	sound	rb	4	34	4	1	0.993
68.351	0	feedback	rb	4	34	n/a	n/a	n/a
71.8	0	sound	rb	3	24	3	1	0.973
75.55	0	feedback	rb	3	24	n/a	n/a	n/a
79.3	0	sound	rb	1	8	2	0	1.073
83.366	0	feedback	rb	1	8	n/a	n/a	n/a
86.799	0	sound	rb	3	23	1	0	1.358
90.532	0	feedback	rb	3	23	n/a	n/a	n/a
94.298	0	sound	rb	2	14	3	0	1.147
98.181	0	feedback	rb	2	14	n/a	n/a	n/a
101.781	0	sound	rb	4	32	2	0	1.2
105.064	0	feedback	rb	4	32	n/a	n/a	n/a
109.313	0	sound	rb	1	3	4	0	1.827
112.796	0	feedback	rb	1	3	n/a	n/a	n/a
119.296	0	sound	rb	4	35	4	1	0.924
122.679	0	feedback	rb	4	35	n/a	n/a	n/a
126.795	0	sound	rb	1	1	3	0	0.905
129.861	0	feedback	rb	1	1	n/a	n/a	n/a
134.294	0	sound	rb	3	26	1	0	1.062
137.294	0	feedback	rb	3	26	n/a	n/a	n/a
141.794	0	sound	rb	2	18	4	0	1.097
145.627	0	feedback	rb	2	18	n/a	n/a	n/a
149.293	0	sound	rb	1	2	4	0	1.294
153.209	0	feedback	rb	1	2	n/a	n/a	n/a
156.792	0	sound	rb	2	20	1	0	0.859
160.475	0	feedback	rb	2	20	n/a	n/a	n/a
164.291	0	sound	rb	1	9	2	0	1
168.524	0	feedback	rb	1	9	n/a	n/a	n/a
171.791	0	sound	rb	2	11	2	1	1.1
174.69	0	feedback	rb	2	11	n/a	n/a	n/a
181.79	0	sound	rb	3	30	1	0	1.308
186.106	0	feedback	rb	3	30	n/a	n/a	n/a
189.306	0	sound	rb	4	36	4	1	0.96
192.439	0	feedback	rb	4	36	n/a	n/a	n/a
196.788	0	sound	rb	2	13	3	0	1.094
201.121	0	feedback	rb	2	13	n/a	n/a	n/a
204.288	0	sound	rb	3	22	2	0	1.13
208.754	0	feedback	rb	3	22	n/a	n/a	n/a
211.82	0	sound	rb	1	6	3	0	1.221
214.82	0	feedback	rb	1	6	n/a	n/a	n/a
221.819	0	sound	rb	4	31	2	0	1.894
225.869	0	feedback	rb	4	31	n/a	n/a	n/a
229.285	0	sound	rb	2	17	4	0	0.892
233.168	0	feedback	rb	2	17	n/a	n/a	n/a
236.785	0	sound	rb	3	21	0	0	0
240.718	0	feedback	rb	3	21	n/a	n/a	n/a
244.284	0	sound	rb	2	15	4	0	1.02
248.717	0	feedback	rb	2	15	n/a	n/a	n/a
251.817	0	sound	rb	3	29	2	0	1.519
254.883	0	feedback	rb	3	29	n/a	n/a	n/a
261.799	0	sound	rb	1	10	4	0	0.985
265.565	0	feedback	rb	1	10	n/a	n/a	n/a
269.282	0	sound	rb	2	16	4	0	1.67
272.548	0	feedback	rb	2	16	n/a	n/a	n/a
276.797	0	sound	rb	1	7	3	0	1.378
280.297	0	feedback	rb	1	7	n/a	n/a	n/a
286.78	0	sound	rb	4	40	2	0	1.091
289.663	0	feedback	rb	4	40	n/a	n/a	n/a
294.296	0	sound	rb	3	28	4	0	1.503
298.079	0	feedback	rb	3	28	n/a	n/a	n/a
301.778	0	sound	rb	1	4	3	0	1.189
304.795	0	feedback	rb	1	4	n/a	n/a	n/a
311.794	0	sound	rb	2	19	4	0	1.876
315.427	0	feedback	rb	2	19	n/a	n/a	n/a
321.777	0	sound	rb	4	37	2	0	0.965
325.543	0	feedback	rb	4	37	n/a	n/a	n/a
329.292	0	sound	rb	3	27	3	1	1.53
333.475	0	feedback	rb	3	27	n/a	n/a	n/a
