onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
11.82	0	sound	ii	4	37	4	1	1.548
16.303	0	feedback	ii	4	37	n/a	n/a	n/a
19.336	0	sound	ii	3	27	3	1	1.391
23.585	0	feedback	ii	3	27	n/a	n/a	n/a
29.318	0	sound	ii	1	1	2	0	0.929
32.968	0	feedback	ii	1	1	n/a	n/a	n/a
36.801	0	sound	ii	3	23	2	0	1.326
40.484	0	feedback	ii	3	23	n/a	n/a	n/a
46.816	0	sound	ii	4	38	4	1	1.198
51.199	0	feedback	ii	4	38	n/a	n/a	n/a
54.332	0	sound	ii	3	26	3	1	1.722
58.415	0	feedback	ii	3	26	n/a	n/a	n/a
61.815	0	sound	ii	1	3	2	0	0.863
65.181	0	feedback	ii	1	3	n/a	n/a	n/a
69.314	0	sound	ii	1	9	2	0	0.948
72.114	0	feedback	ii	1	9	n/a	n/a	n/a
76.813	0	sound	ii	3	24	2	0	0.888
80.796	0	feedback	ii	3	24	n/a	n/a	n/a
84.329	0	sound	ii	2	19	2	1	1.988
86.879	0	feedback	ii	2	19	n/a	n/a	n/a
91.812	0	sound	ii	2	18	0	0	0
96.128	0	feedback	ii	2	18	n/a	n/a	n/a
101.828	0	sound	ii	2	16	2	1	0.705
105.71	0	feedback	ii	2	16	n/a	n/a	n/a
111.81	0	sound	ii	2	12	3	0	1.258
114.826	0	feedback	ii	2	12	n/a	n/a	n/a
119.326	0	sound	ii	2	14	1	0	1.054
123.759	0	feedback	ii	2	14	n/a	n/a	n/a
126.808	0	sound	ii	3	22	3	1	1.004
130.791	0	feedback	ii	3	22	n/a	n/a	n/a
136.824	0	sound	ii	4	39	4	1	0.891
140.89	0	feedback	ii	4	39	n/a	n/a	n/a
146.806	0	sound	ii	4	40	1	0	1.373
150.289	0	feedback	ii	4	40	n/a	n/a	n/a
154.305	0	sound	ii	2	20	3	0	1.01
158.555	0	feedback	ii	2	20	n/a	n/a	n/a
161.805	0	sound	ii	1	10	2	0	1.397
165.171	0	feedback	ii	1	10	n/a	n/a	n/a
171.804	0	sound	ii	3	21	3	1	1.366
175.037	0	feedback	ii	3	21	n/a	n/a	n/a
179.303	0	sound	ii	4	35	4	1	1.003
183.303	0	feedback	ii	4	35	n/a	n/a	n/a
186.802	0	sound	ii	2	13	2	1	1.104
190.402	0	feedback	ii	2	13	n/a	n/a	n/a
194.318	0	sound	ii	4	32	3	0	1.219
197.918	0	feedback	ii	4	32	n/a	n/a	n/a
201.801	0	sound	ii	2	15	2	1	1.224
206.084	0	feedback	ii	2	15	n/a	n/a	n/a
209.3	0	sound	ii	3	29	3	1	1.093
213.733	0	feedback	ii	3	29	n/a	n/a	n/a
216.799	0	sound	ii	1	2	1	1	1.017
219.666	0	feedback	ii	1	2	n/a	n/a	n/a
224.298	0	sound	ii	3	25	2	0	0.926
227.998	0	feedback	ii	3	25	n/a	n/a	n/a
231.798	0	sound	ii	1	6	3	0	1.178
235.781	0	feedback	ii	1	6	n/a	n/a	n/a
239.314	0	sound	ii	4	33	4	1	1.262
243.696	0	feedback	ii	4	33	n/a	n/a	n/a
249.313	0	sound	ii	4	34	2	0	0.894
253.329	0	feedback	ii	4	34	n/a	n/a	n/a
259.295	0	sound	ii	1	8	4	0	0.792
263.361	0	feedback	ii	1	8	n/a	n/a	n/a
266.794	0	sound	ii	1	5	3	0	0.613
270.56	0	feedback	ii	1	5	n/a	n/a	n/a
274.31	0	sound	ii	3	28	3	1	1.272
278.31	0	feedback	ii	3	28	n/a	n/a	n/a
281.793	0	sound	ii	2	17	1	0	0.917
285.409	0	feedback	ii	2	17	n/a	n/a	n/a
289.309	0	sound	ii	2	11	2	1	0.729
292.292	0	feedback	ii	2	11	n/a	n/a	n/a
299.308	0	sound	ii	3	30	2	0	0.802
303.674	0	feedback	ii	3	30	n/a	n/a	n/a
306.79	0	sound	ii	4	36	3	0	0.831
309.956	0	feedback	ii	4	36	n/a	n/a	n/a
314.306	0	sound	ii	4	31	4	1	0.779
316.822	0	feedback	ii	4	31	n/a	n/a	n/a
321.789	0	sound	ii	1	4	4	0	0.608
325.455	0	feedback	ii	1	4	n/a	n/a	n/a
329.305	0	sound	ii	1	7	1	1	0.66
333.021	0	feedback	ii	1	7	n/a	n/a	n/a
