onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.354	0	sound	rb	2	17	1	0	1.262
18.436	0	feedback	rb	2	17	n/a	n/a	n/a
21.853	0	sound	rb	4	39	1	0	1.155
25.336	0	feedback	rb	4	39	n/a	n/a	n/a
29.352	0	sound	rb	3	26	4	0	1.095
33.752	0	feedback	rb	3	26	n/a	n/a	n/a
36.801	0	sound	rb	3	22	1	0	1.014
39.651	0	feedback	rb	3	22	n/a	n/a	n/a
44.351	0	sound	rb	1	4	1	1	1.536
48.783	0	feedback	rb	1	4	n/a	n/a	n/a
51.833	0	sound	rb	1	10	1	1	1.294
54.583	0	feedback	rb	1	10	n/a	n/a	n/a
61.832	0	sound	rb	3	27	2	0	1.478
64.348	0	feedback	rb	3	27	n/a	n/a	n/a
69.315	0	sound	rb	1	1	4	0	0.867
73.464	0	feedback	rb	1	1	n/a	n/a	n/a
76.831	0	sound	rb	1	9	1	1	1.687
79.43	0	feedback	rb	1	9	n/a	n/a	n/a
84.33	0	sound	rb	3	24	1	0	1.027
88.363	0	feedback	rb	3	24	n/a	n/a	n/a
91.812	0	sound	rb	1	5	4	0	1.025
95.395	0	feedback	rb	1	5	n/a	n/a	n/a
99.395	0	sound	rb	3	28	1	0	1.498
103.111	0	feedback	rb	3	28	n/a	n/a	n/a
106.828	0	sound	rb	2	12	1	0	1.217
110.977	0	feedback	rb	2	12	n/a	n/a	n/a
114.31	0	sound	rb	4	38	1	0	1.15
117.627	0	feedback	rb	4	38	n/a	n/a	n/a
124.309	0	sound	rb	3	25	1	0	0.983
128.375	0	feedback	rb	3	25	n/a	n/a	n/a
131.842	0	sound	rb	4	40	1	0	1.338
135.341	0	feedback	rb	4	40	n/a	n/a	n/a
139.308	0	sound	rb	3	29	4	0	1.279
143.474	0	feedback	rb	3	29	n/a	n/a	n/a
149.34	0	sound	rb	4	34	0	0	0
153.69	0	feedback	rb	4	34	n/a	n/a	n/a
156.806	0	sound	rb	3	30	4	0	1.149
160.622	0	feedback	rb	3	30	n/a	n/a	n/a
166.822	0	sound	rb	2	16	4	0	1.205
170.538	0	feedback	rb	2	16	n/a	n/a	n/a
174.321	0	sound	rb	1	7	1	1	1.041
177.787	0	feedback	rb	1	7	n/a	n/a	n/a
181.837	0	sound	rb	2	15	2	1	1.485
185.753	0	feedback	rb	2	15	n/a	n/a	n/a
189.319	0	sound	rb	3	21	1	0	1.659
192.352	0	feedback	rb	3	21	n/a	n/a	n/a
196.802	0	sound	rb	4	32	4	1	1.143
200.518	0	feedback	rb	4	32	n/a	n/a	n/a
204.301	0	sound	rb	2	11	1	0	1.556
207.551	0	feedback	rb	2	11	n/a	n/a	n/a
211.85	0	sound	rb	4	37	4	1	1.591
214.9	0	feedback	rb	4	37	n/a	n/a	n/a
219.3	0	sound	rb	4	31	4	1	1.013
223.416	0	feedback	rb	4	31	n/a	n/a	n/a
229.299	0	sound	rb	1	8	1	1	1.501
232.632	0	feedback	rb	1	8	n/a	n/a	n/a
236.798	0	sound	rb	3	23	2	0	1.306
240.681	0	feedback	rb	3	23	n/a	n/a	n/a
246.814	0	sound	rb	2	14	1	0	1.146
250.047	0	feedback	rb	2	14	n/a	n/a	n/a
254.313	0	sound	rb	1	6	1	1	1.094
257.896	0	feedback	rb	1	6	n/a	n/a	n/a
264.295	0	sound	rb	2	13	1	0	1.376
268.761	0	feedback	rb	2	13	n/a	n/a	n/a
271.844	0	sound	rb	1	2	1	1	1.347
275.411	0	feedback	rb	1	2	n/a	n/a	n/a
279.294	0	sound	rb	4	36	4	1	0.905
283.426	0	feedback	rb	4	36	n/a	n/a	n/a
289.309	0	sound	rb	2	18	2	1	1.529
293.475	0	feedback	rb	2	18	n/a	n/a	n/a
299.308	0	sound	rb	1	3	0	0	0
303.241	0	feedback	rb	1	3	n/a	n/a	n/a
306.824	0	sound	rb	2	20	1	0	0.982
311.207	0	feedback	rb	2	20	n/a	n/a	n/a
314.307	0	sound	rb	4	35	4	1	1.338
317.823	0	feedback	rb	4	35	n/a	n/a	n/a
324.306	0	sound	rb	4	33	4	1	0.891
328.505	0	feedback	rb	4	33	n/a	n/a	n/a
331.788	0	sound	rb	2	19	1	0	1.489
335.771	0	feedback	rb	2	19	n/a	n/a	n/a
