onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.333	0	sound	rb	1	9	1	1	1.906
18.783	0	feedback	rb	1	9	n/a	n/a	n/a
21.799	0	sound	rb	2	16	2	1	1.6
26.065	0	feedback	rb	2	16	n/a	n/a	n/a
31.798	0	sound	rb	2	14	2	1	1.561
35.448	0	feedback	rb	2	14	n/a	n/a	n/a
39.331	0	sound	rb	1	1	0	0	0
42.981	0	feedback	rb	1	1	n/a	n/a	n/a
49.313	0	sound	rb	4	35	3	0	1.07
53.696	0	feedback	rb	4	35	n/a	n/a	n/a
56.796	0	sound	rb	2	18	4	0	1.162
60.896	0	feedback	rb	2	18	n/a	n/a	n/a
64.295	0	sound	rb	1	7	2	0	1.999
67.662	0	feedback	rb	1	7	n/a	n/a	n/a
71.795	0	sound	rb	3	23	1	0	1.883
74.611	0	feedback	rb	3	23	n/a	n/a	n/a
79.294	0	sound	rb	4	37	4	1	1.28
83.294	0	feedback	rb	4	37	n/a	n/a	n/a
89.31	0	sound	rb	4	33	1	0	1.672
91.876	0	feedback	rb	4	33	n/a	n/a	n/a
96.793	0	sound	rb	2	20	4	0	1.612
101.125	0	feedback	rb	2	20	n/a	n/a	n/a
104.309	0	sound	rb	1	3	0	0	0
108.192	0	feedback	rb	1	3	n/a	n/a	n/a
111.791	0	sound	rb	1	5	1	1	0.83
114.808	0	feedback	rb	1	5	n/a	n/a	n/a
121.79	0	sound	rb	4	39	1	0	1.383
126.24	0	feedback	rb	4	39	n/a	n/a	n/a
129.306	0	sound	rb	4	32	2	0	1.395
133.289	0	feedback	rb	4	32	n/a	n/a	n/a
139.289	0	sound	rb	1	6	2	0	1.699
143.355	0	feedback	rb	1	6	n/a	n/a	n/a
146.805	0	sound	rb	2	15	1	0	1.751
150.288	0	feedback	rb	2	15	n/a	n/a	n/a
154.304	0	sound	rb	1	2	2	0	0.884
158.554	0	feedback	rb	1	2	n/a	n/a	n/a
161.803	0	sound	rb	3	22	1	0	1.097
165.153	0	feedback	rb	3	22	n/a	n/a	n/a
169.286	0	sound	rb	3	27	0	0	0
172.536	0	feedback	rb	3	27	n/a	n/a	n/a
176.802	0	sound	rb	3	25	4	0	1.242
180.785	0	feedback	rb	3	25	n/a	n/a	n/a
184.285	0	sound	rb	2	13	3	0	0.966
187.884	0	feedback	rb	2	13	n/a	n/a	n/a
194.301	0	sound	rb	3	29	2	0	1.27
197.9	0	feedback	rb	3	29	n/a	n/a	n/a
201.8	0	sound	rb	2	12	2	1	1.459
206.066	0	feedback	rb	2	12	n/a	n/a	n/a
209.299	0	sound	rb	4	38	1	0	1.432
213.715	0	feedback	rb	4	38	n/a	n/a	n/a
216.799	0	sound	rb	1	8	4	0	1.356
219.648	0	feedback	rb	1	8	n/a	n/a	n/a
224.298	0	sound	rb	3	21	3	1	1.377
227.981	0	feedback	rb	3	21	n/a	n/a	n/a
231.814	0	sound	rb	3	24	3	1	1.476
235.78	0	feedback	rb	3	24	n/a	n/a	n/a
241.78	0	sound	rb	4	36	2	0	1.294
246.179	0	feedback	rb	4	36	n/a	n/a	n/a
251.795	0	sound	rb	1	10	3	0	1.487
255.812	0	feedback	rb	1	10	n/a	n/a	n/a
259.295	0	sound	rb	3	28	2	0	1.483
263.361	0	feedback	rb	3	28	n/a	n/a	n/a
266.794	0	sound	rb	4	31	3	0	1.416
270.56	0	feedback	rb	4	31	n/a	n/a	n/a
274.293	0	sound	rb	2	17	2	1	1.012
278.31	0	feedback	rb	2	17	n/a	n/a	n/a
281.793	0	sound	rb	4	34	1	0	1.224
285.392	0	feedback	rb	4	34	n/a	n/a	n/a
289.309	0	sound	rb	4	40	3	0	1.172
292.275	0	feedback	rb	4	40	n/a	n/a	n/a
296.791	0	sound	rb	2	11	1	0	1.33
301.174	0	feedback	rb	2	11	n/a	n/a	n/a
304.307	0	sound	rb	3	30	3	1	0.91
307.457	0	feedback	rb	3	30	n/a	n/a	n/a
311.79	0	sound	rb	2	19	0	0	0
314.307	0	feedback	rb	2	19	n/a	n/a	n/a
319.289	0	sound	rb	1	4	3	0	1.215
322.956	0	feedback	rb	1	4	n/a	n/a	n/a
329.305	0	sound	rb	3	26	2	0	1.711
333.005	0	feedback	rb	3	26	n/a	n/a	n/a
