onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.309	0	sound	rb	2	13	3	0	1.642
18.792	0	feedback	rb	2	13	n/a	n/a	n/a
21.808	0	sound	rb	4	33	2	0	1.039
26.074	0	feedback	rb	4	33	n/a	n/a	n/a
31.807	0	sound	rb	2	15	3	0	1.208
35.457	0	feedback	rb	2	15	n/a	n/a	n/a
39.306	0	sound	rb	3	23	1	0	1.636
42.973	0	feedback	rb	3	23	n/a	n/a	n/a
46.822	0	sound	rb	4	36	4	1	1.016
51.205	0	feedback	rb	4	36	n/a	n/a	n/a
54.305	0	sound	rb	3	27	1	0	1.237
58.388	0	feedback	rb	3	27	n/a	n/a	n/a
61.804	0	sound	rb	1	7	1	1	1.178
65.154	0	feedback	rb	1	7	n/a	n/a	n/a
69.304	0	sound	rb	1	2	1	1	1.654
72.103	0	feedback	rb	1	2	n/a	n/a	n/a
76.803	0	sound	rb	2	19	1	0	1.45
80.786	0	feedback	rb	2	19	n/a	n/a	n/a
84.319	0	sound	rb	1	6	2	0	1.614
86.869	0	feedback	rb	1	6	n/a	n/a	n/a
94.301	0	sound	rb	2	20	3	0	1.44
98.618	0	feedback	rb	2	20	n/a	n/a	n/a
101.817	0	sound	rb	4	32	3	0	1.924
105.7	0	feedback	rb	4	32	n/a	n/a	n/a
109.3	0	sound	rb	1	10	0	0	0
112.3	0	feedback	rb	1	10	n/a	n/a	n/a
116.816	0	sound	rb	2	11	2	1	1.348
121.249	0	feedback	rb	2	11	n/a	n/a	n/a
124.299	0	sound	rb	3	22	4	0	1.097
128.282	0	feedback	rb	3	22	n/a	n/a	n/a
134.314	0	sound	rb	1	3	3	0	1.186
138.364	0	feedback	rb	1	3	n/a	n/a	n/a
144.297	0	sound	rb	1	1	1	1	1.435
147.78	0	feedback	rb	1	1	n/a	n/a	n/a
154.296	0	sound	rb	4	35	4	1	1.171
158.545	0	feedback	rb	4	35	n/a	n/a	n/a
161.795	0	sound	rb	2	17	4	0	1.552
165.145	0	feedback	rb	2	17	n/a	n/a	n/a
169.294	0	sound	rb	1	9	3	0	1.309
172.544	0	feedback	rb	1	9	n/a	n/a	n/a
176.794	0	sound	rb	2	14	1	0	1.097
180.793	0	feedback	rb	2	14	n/a	n/a	n/a
184.293	0	sound	rb	3	29	3	1	1.558
187.893	0	feedback	rb	3	29	n/a	n/a	n/a
191.809	0	sound	rb	3	21	4	0	1.441
195.409	0	feedback	rb	3	21	n/a	n/a	n/a
201.791	0	sound	rb	3	26	4	0	1.715
206.074	0	feedback	rb	3	26	n/a	n/a	n/a
211.791	0	sound	rb	4	34	4	1	1.043
216.223	0	feedback	rb	4	34	n/a	n/a	n/a
219.306	0	sound	rb	4	40	4	1	1.184
222.156	0	feedback	rb	4	40	n/a	n/a	n/a
229.289	0	sound	rb	4	31	4	1	1.152
232.989	0	feedback	rb	4	31	n/a	n/a	n/a
236.788	0	sound	rb	2	12	3	0	1.877
240.771	0	feedback	rb	2	12	n/a	n/a	n/a
246.787	0	sound	rb	4	37	2	0	1.174
251.187	0	feedback	rb	4	37	n/a	n/a	n/a
254.287	0	sound	rb	2	18	3	0	1.354
258.303	0	feedback	rb	2	18	n/a	n/a	n/a
261.786	0	sound	rb	3	30	2	0	1.271
265.852	0	feedback	rb	3	30	n/a	n/a	n/a
269.302	0	sound	rb	4	39	4	1	1.426
273.052	0	feedback	rb	4	39	n/a	n/a	n/a
276.801	0	sound	rb	2	16	3	0	1.743
280.801	0	feedback	rb	2	16	n/a	n/a	n/a
284.3	0	sound	rb	1	5	2	0	1.268
287.9	0	feedback	rb	1	5	n/a	n/a	n/a
294.3	0	sound	rb	4	38	4	1	1.228
297.283	0	feedback	rb	4	38	n/a	n/a	n/a
301.799	0	sound	rb	3	28	2	0	1.824
306.165	0	feedback	rb	3	28	n/a	n/a	n/a
309.298	0	sound	rb	1	4	3	0	1.741
312.448	0	feedback	rb	1	4	n/a	n/a	n/a
316.781	0	sound	rb	3	24	1	0	1.018
319.297	0	feedback	rb	3	24	n/a	n/a	n/a
324.297	0	sound	rb	3	25	3	1	1.062
327.946	0	feedback	rb	3	25	n/a	n/a	n/a
331.779	0	sound	rb	1	8	1	1	1.604
335.496	0	feedback	rb	1	8	n/a	n/a	n/a
