onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.308	0	sound	rb	2	11	1	0	1.564
18.424	0	feedback	rb	2	11	n/a	n/a	n/a
24.307	0	sound	rb	1	2	2	0	1.108
27.84	0	feedback	rb	1	2	n/a	n/a	n/a
34.306	0	sound	rb	3	29	3	1	1.093
38.755	0	feedback	rb	3	29	n/a	n/a	n/a
41.805	0	sound	rb	4	36	4	1	0.97
44.655	0	feedback	rb	4	36	n/a	n/a	n/a
51.804	0	sound	rb	4	34	4	1	1.291
56.271	0	feedback	rb	4	34	n/a	n/a	n/a
59.304	0	sound	rb	2	15	3	0	1.11
62.07	0	feedback	rb	2	15	n/a	n/a	n/a
66.803	0	sound	rb	2	13	2	1	1.259
69.353	0	feedback	rb	2	13	n/a	n/a	n/a
74.302	0	sound	rb	2	18	2	1	1.112
78.468	0	feedback	rb	2	18	n/a	n/a	n/a
84.318	0	sound	rb	3	23	2	0	1.728
86.934	0	feedback	rb	3	23	n/a	n/a	n/a
94.3	0	sound	rb	2	12	3	0	1.057
98.333	0	feedback	rb	2	12	n/a	n/a	n/a
101.8	0	sound	rb	2	14	3	0	1.557
105.383	0	feedback	rb	2	14	n/a	n/a	n/a
109.316	0	sound	rb	3	24	2	0	1.057
113.099	0	feedback	rb	3	24	n/a	n/a	n/a
119.298	0	sound	rb	3	21	1	0	1.299
123.464	0	feedback	rb	3	21	n/a	n/a	n/a
129.297	0	sound	rb	4	37	4	1	1.276
132.613	0	feedback	rb	4	37	n/a	n/a	n/a
136.796	0	sound	rb	3	26	3	1	1.304
140.879	0	feedback	rb	3	26	n/a	n/a	n/a
144.312	0	sound	rb	2	20	2	1	1.108
147.829	0	feedback	rb	2	20	n/a	n/a	n/a
151.812	0	sound	rb	4	32	4	1	1.712
155.978	0	feedback	rb	4	32	n/a	n/a	n/a
161.794	0	sound	rb	1	6	1	1	1.01
166.177	0	feedback	rb	1	6	n/a	n/a	n/a
169.293	0	sound	rb	4	35	4	1	1.75
173.11	0	feedback	rb	4	35	n/a	n/a	n/a
176.793	0	sound	rb	3	28	3	1	1.658
180.526	0	feedback	rb	3	28	n/a	n/a	n/a
184.309	0	sound	rb	2	16	2	1	1.126
187.758	0	feedback	rb	2	16	n/a	n/a	n/a
191.791	0	sound	rb	1	5	1	1	1.348
195.741	0	feedback	rb	1	5	n/a	n/a	n/a
199.291	0	sound	rb	4	31	4	1	0.944
202.34	0	feedback	rb	4	31	n/a	n/a	n/a
206.79	0	sound	rb	1	8	3	0	1.061
210.506	0	feedback	rb	1	8	n/a	n/a	n/a
214.306	0	sound	rb	2	19	3	0	1.112
217.556	0	feedback	rb	2	19	n/a	n/a	n/a
221.822	0	sound	rb	4	38	4	1	0.908
224.872	0	feedback	rb	4	38	n/a	n/a	n/a
229.305	0	sound	rb	1	3	3	0	1.161
233.421	0	feedback	rb	1	3	n/a	n/a	n/a
236.804	0	sound	rb	4	39	4	1	1.046
240.12	0	feedback	rb	4	39	n/a	n/a	n/a
244.303	0	sound	rb	3	22	1	0	1.267
248.186	0	feedback	rb	3	22	n/a	n/a	n/a
251.803	0	sound	rb	3	30	4	0	1.79
255.036	0	feedback	rb	3	30	n/a	n/a	n/a
259.302	0	sound	rb	1	10	1	1	1.011
262.902	0	feedback	rb	1	10	n/a	n/a	n/a
266.801	0	sound	rb	1	9	4	0	0.992
271.267	0	feedback	rb	1	9	n/a	n/a	n/a
274.284	0	sound	rb	1	1	1	1	1.509
277.9	0	feedback	rb	1	1	n/a	n/a	n/a
281.8	0	sound	rb	3	27	3	1	1.881
285.916	0	feedback	rb	3	27	n/a	n/a	n/a
289.299	0	sound	rb	1	7	4	0	0.917
293.465	0	feedback	rb	1	7	n/a	n/a	n/a
296.798	0	sound	rb	2	17	4	0	1.082
300.731	0	feedback	rb	2	17	n/a	n/a	n/a
304.298	0	sound	rb	4	40	4	1	1.23
308.714	0	feedback	rb	4	40	n/a	n/a	n/a
314.297	0	sound	rb	1	4	3	0	1.591
317.813	0	feedback	rb	1	4	n/a	n/a	n/a
321.796	0	sound	rb	3	25	4	0	1.539
325.996	0	feedback	rb	3	25	n/a	n/a	n/a
331.795	0	sound	rb	4	33	4	1	1.044
335.778	0	feedback	rb	4	33	n/a	n/a	n/a
