onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.355	0	sound	ii	3	30	1	0	1.252
16.922	0	feedback	ii	3	30	n/a	n/a	n/a
21.805	0	sound	ii	2	11	2	1	1.17
26.037	0	feedback	ii	2	11	n/a	n/a	n/a
29.32	0	sound	ii	3	28	4	0	0.927
31.887	0	feedback	ii	3	28	n/a	n/a	n/a
36.82	0	sound	ii	3	22	1	0	0.97
41.069	0	feedback	ii	3	22	n/a	n/a	n/a
44.302	0	sound	ii	2	12	3	0	0.784
48.685	0	feedback	ii	2	12	n/a	n/a	n/a
51.802	0	sound	ii	4	38	3	0	0.828
55.868	0	feedback	ii	4	38	n/a	n/a	n/a
59.334	0	sound	ii	1	7	1	1	0.984
63.35	0	feedback	ii	1	7	n/a	n/a	n/a
66.8	0	sound	ii	2	16	2	1	1.085
70.566	0	feedback	ii	2	16	n/a	n/a	n/a
76.799	0	sound	ii	4	31	1	0	1.118
80.865	0	feedback	ii	4	31	n/a	n/a	n/a
84.298	0	sound	ii	3	23	1	0	1.163
88.031	0	feedback	ii	3	23	n/a	n/a	n/a
91.814	0	sound	ii	2	17	3	0	1.166
95.68	0	feedback	ii	2	17	n/a	n/a	n/a
99.297	0	sound	ii	3	21	2	0	1.363
102.58	0	feedback	ii	3	21	n/a	n/a	n/a
106.813	0	sound	ii	1	6	1	1	0.975
110.296	0	feedback	ii	1	6	n/a	n/a	n/a
116.812	0	sound	ii	4	34	2	0	1.456
120.178	0	feedback	ii	4	34	n/a	n/a	n/a
124.294	0	sound	ii	1	8	1	1	1.181
127.361	0	feedback	ii	1	8	n/a	n/a	n/a
131.793	0	sound	ii	1	9	2	0	1.338
134.793	0	feedback	ii	1	9	n/a	n/a	n/a
141.809	0	sound	ii	2	18	1	0	1.146
145.642	0	feedback	ii	2	18	n/a	n/a	n/a
149.292	0	sound	ii	4	36	1	0	1.967
153.208	0	feedback	ii	4	36	n/a	n/a	n/a
159.307	0	sound	ii	3	29	1	0	1.183
162.99	0	feedback	ii	3	29	n/a	n/a	n/a
166.79	0	sound	ii	1	1	1	1	0.98
171.023	0	feedback	ii	1	1	n/a	n/a	n/a
174.289	0	sound	ii	3	26	0	0	0
177.172	0	feedback	ii	3	26	n/a	n/a	n/a
184.305	0	sound	ii	4	40	2	0	1.032
188.604	0	feedback	ii	4	40	n/a	n/a	n/a
191.837	0	sound	ii	3	24	3	1	1.324
194.954	0	feedback	ii	3	24	n/a	n/a	n/a
199.303	0	sound	ii	4	37	3	0	1.338
203.62	0	feedback	ii	4	37	n/a	n/a	n/a
206.786	0	sound	ii	2	14	3	0	1.254
211.269	0	feedback	ii	2	14	n/a	n/a	n/a
214.318	0	sound	ii	3	25	2	0	1.282
217.318	0	feedback	ii	3	25	n/a	n/a	n/a
221.801	0	sound	ii	2	15	1	0	1.023
225.884	0	feedback	ii	2	15	n/a	n/a	n/a
231.8	0	sound	ii	1	10	1	1	1.344
235.666	0	feedback	ii	1	10	n/a	n/a	n/a
239.299	0	sound	ii	1	3	1	1	1.58
243.232	0	feedback	ii	1	3	n/a	n/a	n/a
246.799	0	sound	ii	4	32	2	0	1.216
251.231	0	feedback	ii	4	32	n/a	n/a	n/a
256.798	0	sound	ii	4	39	3	0	1.457
259.897	0	feedback	ii	4	39	n/a	n/a	n/a
264.297	0	sound	ii	2	20	1	0	1.197
268.063	0	feedback	ii	2	20	n/a	n/a	n/a
271.796	0	sound	ii	4	35	1	0	1.362
275.046	0	feedback	ii	4	35	n/a	n/a	n/a
279.312	0	sound	ii	3	27	3	1	1.07
282.795	0	feedback	ii	3	27	n/a	n/a	n/a
289.294	0	sound	ii	1	4	1	1	1.104
292.177	0	feedback	ii	1	4	n/a	n/a	n/a
296.81	0	sound	ii	2	19	1	0	1.379
300.576	0	feedback	ii	2	19	n/a	n/a	n/a
304.293	0	sound	ii	4	33	2	0	1.288
307.292	0	feedback	ii	4	33	n/a	n/a	n/a
314.292	0	sound	ii	1	5	4	0	0.825
317.925	0	feedback	ii	1	5	n/a	n/a	n/a
324.291	0	sound	ii	1	2	1	1	1.425
328.04	0	feedback	ii	1	2	n/a	n/a	n/a
331.807	0	sound	ii	2	13	2	1	0.933
335.973	0	feedback	ii	2	13	n/a	n/a	n/a
