onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.341	0	sound	rb	2	12	4	0	1.003
17.608	0	feedback	rb	2	12	n/a	n/a	n/a
21.824	0	sound	rb	3	23	1	0	0.824
25.94	0	feedback	rb	3	23	n/a	n/a	n/a
29.34	0	sound	rb	2	14	2	1	1.163
32.056	0	feedback	rb	2	14	n/a	n/a	n/a
39.306	0	sound	rb	1	9	1	1	0.741
43.572	0	feedback	rb	1	9	n/a	n/a	n/a
46.805	0	sound	rb	2	18	2	1	1.098
49.455	0	feedback	rb	2	18	n/a	n/a	n/a
56.821	0	sound	rb	4	33	4	1	0.874
59.421	0	feedback	rb	4	33	n/a	n/a	n/a
64.303	0	sound	rb	2	19	4	0	0.984
68.57	0	feedback	rb	2	19	n/a	n/a	n/a
71.836	0	sound	rb	4	31	4	1	0.914
74.703	0	feedback	rb	4	31	n/a	n/a	n/a
79.319	0	sound	rb	4	40	3	0	1.439
82.268	0	feedback	rb	4	40	n/a	n/a	n/a
86.818	0	sound	rb	4	38	4	1	0.836
90.934	0	feedback	rb	4	38	n/a	n/a	n/a
94.317	0	sound	rb	1	10	1	1	0.849
97.567	0	feedback	rb	1	10	n/a	n/a	n/a
101.817	0	sound	rb	1	5	1	1	0.981
106.05	0	feedback	rb	1	5	n/a	n/a	n/a
109.316	0	sound	rb	4	36	0	0	0
113.266	0	feedback	rb	4	36	n/a	n/a	n/a
116.799	0	sound	rb	3	27	3	1	1.294
119.382	0	feedback	rb	3	27	n/a	n/a	n/a
124.315	0	sound	rb	4	32	2	0	1.218
127.514	0	feedback	rb	4	32	n/a	n/a	n/a
131.814	0	sound	rb	3	30	4	0	1.111
136.214	0	feedback	rb	3	30	n/a	n/a	n/a
139.297	0	sound	rb	3	25	1	0	1.196
143.446	0	feedback	rb	3	25	n/a	n/a	n/a
146.813	0	sound	rb	1	8	1	1	0.824
149.363	0	feedback	rb	1	8	n/a	n/a	n/a
156.812	0	sound	rb	2	17	2	1	1.504
160.245	0	feedback	rb	2	17	n/a	n/a	n/a
164.295	0	sound	rb	1	1	1	1	0.917
168.328	0	feedback	rb	1	1	n/a	n/a	n/a
171.811	0	sound	rb	3	28	3	1	1.193
174.344	0	feedback	rb	3	28	n/a	n/a	n/a
181.81	0	sound	rb	2	16	4	0	0.922
185.709	0	feedback	rb	2	16	n/a	n/a	n/a
189.326	0	sound	rb	2	15	4	0	1.014
193.659	0	feedback	rb	2	15	n/a	n/a	n/a
199.325	0	sound	rb	1	2	3	0	1.534
203.691	0	feedback	rb	1	2	n/a	n/a	n/a
206.807	0	sound	rb	1	7	1	1	1.028
210.69	0	feedback	rb	1	7	n/a	n/a	n/a
214.307	0	sound	rb	3	21	3	1	1.432
218.09	0	feedback	rb	3	21	n/a	n/a	n/a
221.806	0	sound	rb	2	13	2	1	0.965
225.539	0	feedback	rb	2	13	n/a	n/a	n/a
229.305	0	sound	rb	1	4	2	0	1.49
233.055	0	feedback	rb	1	4	n/a	n/a	n/a
236.805	0	sound	rb	4	35	4	1	1.646
240.021	0	feedback	rb	4	35	n/a	n/a	n/a
246.787	0	sound	rb	2	11	4	0	0.895
250.887	0	feedback	rb	2	11	n/a	n/a	n/a
256.786	0	sound	rb	3	26	3	1	1.136
260.269	0	feedback	rb	3	26	n/a	n/a	n/a
264.302	0	sound	rb	3	29	2	0	1.22
267.702	0	feedback	rb	3	29	n/a	n/a	n/a
271.818	0	sound	rb	3	24	2	0	1.768
275.235	0	feedback	rb	3	24	n/a	n/a	n/a
279.284	0	sound	rb	3	22	3	1	1.566
283.484	0	feedback	rb	3	22	n/a	n/a	n/a
286.8	0	sound	rb	4	34	4	1	0.961
289.417	0	feedback	rb	4	34	n/a	n/a	n/a
296.816	0	sound	rb	2	20	4	0	1.097
300.816	0	feedback	rb	2	20	n/a	n/a	n/a
304.299	0	sound	rb	4	39	2	0	0.814
307.665	0	feedback	rb	4	39	n/a	n/a	n/a
311.798	0	sound	rb	1	3	1	1	1.115
315.348	0	feedback	rb	1	3	n/a	n/a	n/a
319.314	0	sound	rb	4	37	2	0	1.047
322.68	0	feedback	rb	4	37	n/a	n/a	n/a
329.313	0	sound	rb	1	6	3	0	1.135
332.713	0	feedback	rb	1	6	n/a	n/a	n/a
