onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.355	0	sound	ii	2	13	2	1	1.101
17.288	0	feedback	ii	2	13	n/a	n/a	n/a
21.821	0	sound	ii	4	38	4	1	1.195
25.837	0	feedback	ii	4	38	n/a	n/a	n/a
29.32	0	sound	ii	1	2	1	1	1.432
33.77	0	feedback	ii	1	2	n/a	n/a	n/a
36.819	0	sound	ii	3	24	3	1	1.436
39.986	0	feedback	ii	3	24	n/a	n/a	n/a
46.818	0	sound	ii	2	19	2	1	1.237
50.935	0	feedback	ii	2	19	n/a	n/a	n/a
54.301	0	sound	ii	4	40	4	1	1.41
57.251	0	feedback	ii	4	40	n/a	n/a	n/a
61.834	0	sound	ii	2	14	2	1	1.509
66.167	0	feedback	ii	2	14	n/a	n/a	n/a
69.3	0	sound	ii	3	28	3	1	1.354
72.849	0	feedback	ii	3	28	n/a	n/a	n/a
76.816	0	sound	ii	2	12	2	1	1.222
79.665	0	feedback	ii	2	12	n/a	n/a	n/a
84.298	0	sound	ii	3	23	3	1	1.46
87.365	0	feedback	ii	3	23	n/a	n/a	n/a
91.831	0	sound	ii	3	22	4	0	1.095
95.547	0	feedback	ii	3	22	n/a	n/a	n/a
99.297	0	sound	ii	1	1	1	1	1.693
102.097	0	feedback	ii	1	1	n/a	n/a	n/a
106.83	0	sound	ii	4	32	1	0	1.359
110.379	0	feedback	ii	4	32	n/a	n/a	n/a
114.312	0	sound	ii	2	16	1	0	1.261
118.129	0	feedback	ii	2	16	n/a	n/a	n/a
124.311	0	sound	ii	4	36	4	1	1.166
127.728	0	feedback	ii	4	36	n/a	n/a	n/a
131.811	0	sound	ii	4	37	4	1	1.17
136.027	0	feedback	ii	4	37	n/a	n/a	n/a
141.843	0	sound	ii	4	31	4	1	1.594
145.776	0	feedback	ii	4	31	n/a	n/a	n/a
149.309	0	sound	ii	1	6	1	1	1.503
153.609	0	feedback	ii	1	6	n/a	n/a	n/a
156.825	0	sound	ii	1	5	1	1	1.371
160.441	0	feedback	ii	1	5	n/a	n/a	n/a
164.308	0	sound	ii	2	20	2	1	1.544
167.091	0	feedback	ii	2	20	n/a	n/a	n/a
174.307	0	sound	ii	3	30	3	1	1.441
178.49	0	feedback	ii	3	30	n/a	n/a	n/a
184.339	0	sound	ii	3	26	3	1	1.648
188.389	0	feedback	ii	3	26	n/a	n/a	n/a
191.805	0	sound	ii	4	39	3	0	1.534
196.105	0	feedback	ii	4	39	n/a	n/a	n/a
201.821	0	sound	ii	1	3	2	0	1.294
204.987	0	feedback	ii	1	3	n/a	n/a	n/a
209.303	0	sound	ii	3	27	3	1	1.508
213.236	0	feedback	ii	3	27	n/a	n/a	n/a
216.803	0	sound	ii	1	10	2	0	1.192
221.019	0	feedback	ii	1	10	n/a	n/a	n/a
224.285	0	sound	ii	4	33	3	0	1.757
227.202	0	feedback	ii	4	33	n/a	n/a	n/a
231.818	0	sound	ii	2	15	2	1	1.176
234.818	0	feedback	ii	2	15	n/a	n/a	n/a
241.817	0	sound	ii	3	29	4	0	1.337
246.15	0	feedback	ii	3	29	n/a	n/a	n/a
249.316	0	sound	ii	3	21	3	1	1.838
253.383	0	feedback	ii	3	21	n/a	n/a	n/a
256.832	0	sound	ii	1	9	2	0	1.218
260.099	0	feedback	ii	1	9	n/a	n/a	n/a
264.298	0	sound	ii	2	11	2	1	1.447
268.081	0	feedback	ii	2	11	n/a	n/a	n/a
271.798	0	sound	ii	3	25	1	0	1.587
275.431	0	feedback	ii	3	25	n/a	n/a	n/a
281.813	0	sound	ii	4	35	4	1	1.276
285.146	0	feedback	ii	4	35	n/a	n/a	n/a
289.313	0	sound	ii	1	7	2	0	1.64
292.862	0	feedback	ii	1	7	n/a	n/a	n/a
296.795	0	sound	ii	2	18	2	1	1.517
300.878	0	feedback	ii	2	18	n/a	n/a	n/a
306.811	0	sound	ii	1	8	1	1	1.413
310.844	0	feedback	ii	1	8	n/a	n/a	n/a
316.794	0	sound	ii	1	4	1	1	1.79
319.793	0	feedback	ii	1	4	n/a	n/a	n/a
324.343	0	sound	ii	4	34	4	1	1.201
327.559	0	feedback	ii	4	34	n/a	n/a	n/a
331.809	0	sound	ii	2	17	1	0	1.559
336.092	0	feedback	ii	2	17	n/a	n/a	n/a
