onset	duration	trial_type	structure	category	item	stim.RESP	stim.ACC	stim.RT
14.335	0	sound	ii	1	7	1	1	0.961
18.417	0	feedback	ii	1	7	n/a	n/a	n/a
21.834	0	sound	ii	4	33	2	0	1.229
25.333	0	feedback	ii	4	33	n/a	n/a	n/a
29.299	0	sound	ii	3	23	3	1	0.98
33.749	0	feedback	ii	3	23	n/a	n/a	n/a
36.799	0	sound	ii	1	4	4	0	1.072
39.648	0	feedback	ii	1	4	n/a	n/a	n/a
44.315	0	sound	ii	2	13	2	1	0.995
48.764	0	feedback	ii	2	13	n/a	n/a	n/a
51.797	0	sound	ii	2	12	2	1	1.409
54.564	0	feedback	ii	2	12	n/a	n/a	n/a
59.313	0	sound	ii	4	40	2	0	1.429
61.846	0	feedback	ii	4	40	n/a	n/a	n/a
69.312	0	sound	ii	4	35	3	0	1.181
73.462	0	feedback	ii	4	35	n/a	n/a	n/a
76.811	0	sound	ii	1	9	2	0	0.986
79.428	0	feedback	ii	1	9	n/a	n/a	n/a
84.327	0	sound	ii	4	39	1	0	0.942
88.343	0	feedback	ii	4	39	n/a	n/a	n/a
91.793	0	sound	ii	1	2	3	0	0.924
95.376	0	feedback	ii	1	2	n/a	n/a	n/a
99.342	0	sound	ii	3	24	4	0	1.15
103.109	0	feedback	ii	3	24	n/a	n/a	n/a
106.808	0	sound	ii	2	19	2	1	1.036
110.974	0	feedback	ii	2	19	n/a	n/a	n/a
114.307	0	sound	ii	1	3	1	1	0.945
117.624	0	feedback	ii	1	3	n/a	n/a	n/a
124.306	0	sound	ii	2	15	4	0	1.345
128.373	0	feedback	ii	2	15	n/a	n/a	n/a
131.806	0	sound	ii	1	6	3	0	1.493
135.339	0	feedback	ii	1	6	n/a	n/a	n/a
139.305	0	sound	ii	3	29	1	0	1.034
143.471	0	feedback	ii	3	29	n/a	n/a	n/a
146.787	0	sound	ii	1	1	4	0	1.231
151.17	0	feedback	ii	1	1	n/a	n/a	n/a
154.287	0	sound	ii	1	8	2	0	0.947
158.103	0	feedback	ii	1	8	n/a	n/a	n/a
164.302	0	sound	ii	3	22	4	0	1.204
168.035	0	feedback	ii	3	22	n/a	n/a	n/a
171.801	0	sound	ii	1	10	3	0	0.888
175.268	0	feedback	ii	1	10	n/a	n/a	n/a
181.8	0	sound	ii	2	11	2	1	1.081
185.75	0	feedback	ii	2	11	n/a	n/a	n/a
191.799	0	sound	ii	1	5	1	1	0.794
194.849	0	feedback	ii	1	5	n/a	n/a	n/a
199.332	0	sound	ii	3	21	2	0	0.892
203.015	0	feedback	ii	3	21	n/a	n/a	n/a
206.815	0	sound	ii	4	36	3	0	0.913
210.047	0	feedback	ii	4	36	n/a	n/a	n/a
214.314	0	sound	ii	3	26	4	0	0.742
217.38	0	feedback	ii	3	26	n/a	n/a	n/a
221.796	0	sound	ii	2	20	1	0	1.236
225.913	0	feedback	ii	2	20	n/a	n/a	n/a
229.296	0	sound	ii	4	37	2	0	0.983
232.629	0	feedback	ii	4	37	n/a	n/a	n/a
239.295	0	sound	ii	4	34	2	0	0.36
243.177	0	feedback	ii	4	34	n/a	n/a	n/a
249.293	0	sound	ii	4	31	4	1	0.93
252.526	0	feedback	ii	4	31	n/a	n/a	n/a
256.793	0	sound	ii	4	32	3	0	1.045
260.392	0	feedback	ii	4	32	n/a	n/a	n/a
264.292	0	sound	ii	3	30	4	0	0.882
268.758	0	feedback	ii	3	30	n/a	n/a	n/a
271.808	0	sound	ii	2	14	1	0	1.046
275.407	0	feedback	ii	2	14	n/a	n/a	n/a
279.29	0	sound	ii	2	17	2	1	0.923
283.423	0	feedback	ii	2	17	n/a	n/a	n/a
286.79	0	sound	ii	4	38	2	0	1.183
290.956	0	feedback	ii	4	38	n/a	n/a	n/a
296.822	0	sound	ii	3	25	3	1	1.183
300.721	0	feedback	ii	3	25	n/a	n/a	n/a
306.788	0	sound	ii	2	18	4	0	1
311.204	0	feedback	ii	2	18	n/a	n/a	n/a
316.787	0	sound	ii	2	16	1	0	1.137
320.303	0	feedback	ii	2	16	n/a	n/a	n/a
324.286	0	sound	ii	3	27	2	0	0.886
328.485	0	feedback	ii	3	27	n/a	n/a	n/a
331.802	0	sound	ii	3	28	4	0	1.113
335.768	0	feedback	ii	3	28	n/a	n/a	n/a
